Date,Close,Open
2003-02-17,3.4,3.45
2003-02-18,3.4,3.4
2003-02-19,3.4,3.4
2003-02-21,3.4,3.4
2003-02-24,3.4,3.4
2003-02-25,3.4,3.4
2003-02-28,3.4,3.4
2003-03-04,3.4,3.4
2003-03-05,3.4,3.4
2003-03-06,3.23,3.23
2003-03-13,3.07,3.09
2003-03-14,2.92,2.93
2003-03-17,2.95,2.92
2003-03-18,3.09,3.09
2003-03-19,3.24,3.24
2003-03-20,3.4,3.4
2003-03-21,3.57,3.53
2003-03-24,3.74,3.7
2003-03-25,3.92,3.89
2003-03-26,4.1,4.1
2003-03-27,4.3,4.3
2003-03-31,4.5,4.5
2003-04-01,4.5,4.5
2003-04-02,4.28,4.29
2003-04-04,4.28,4.27
2003-04-07,4.07,4.07
2003-04-08,4.27,3.9
2003-04-09,4.48,4.36
2003-04-10,4.5,4.5
2003-04-11,4.28,4.28
2003-04-14,4.07,4.07
2003-04-15,4.2,4.09
2003-04-16,3.99,4.01
2003-04-17,4.18,4.09
2003-04-22,3.98,4.14
2003-04-23,3.9,3.79
2003-04-24,3.9,3.82
2003-04-25,4.09,4.09
2003-04-28,4.29,4.25
2003-04-29,4.5,4.29
2003-04-30,4.3,4.36
2003-05-02,4.3,4.3
2003-05-05,4.1,4.12
2003-05-06,4.3,3.94
2003-05-07,4.5,4.42
2003-05-08,4.5,4.5
2003-05-09,4.49,4.5
2003-05-12,4.49,4.49
2003-05-14,4.49,4.49
2003-05-19,4.4,4.49
2003-05-20,4.4,4.27
2003-05-21,4.18,4.18
2003-05-22,3.98,3.99
2003-05-23,3.97,3.98
2003-05-26,4.17,3.84
2003-05-28,4.17,4.17
2003-05-30,4.15,4.15
2003-06-02,4,4.06
2003-06-03,4,3.85
2003-06-04,3.8,3.8
2003-06-05,3.9,3.62
2003-06-06,4.09,3.96
2003-06-09,4,4
2003-06-10,4,4
2003-06-11,3.8,3.8
2003-06-12,3.8,3.8
2003-06-13,3.61,3.61
2003-06-16,3.55,3.45
2003-06-17,3.38,3.38
2003-06-18,3.25,3.33
2003-06-19,3.25,3.25
2003-06-20,3.25,3.25
