Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,0.70,0.73,0.70,0.73,57700.00,4.00,40420.00
2007-01-09,0.73,0.73,0.73,0.73,26954.00,3.00,19676.42
2007-01-11,0.73,0.73,0.73,0.73,15440.00,2.00,11271.20
2007-01-12,0.73,0.73,0.73,0.73,13957.00,4.00,10188.61
2007-01-15,0.70,0.70,0.70,0.70,40043.00,1.00,28030.10
2007-01-16,0.70,0.70,0.70,0.70,10000.00,3.00,7000.00
2007-01-17,0.70,0.70,0.70,0.70,30000.00,2.00,21000.00
2007-01-18,0.70,0.70,0.70,0.70,4000.00,1.00,2800.00
2007-01-22,0.73,0.73,0.73,0.73,10000.00,1.00,7300.00
2007-01-30,0.73,0.73,0.70,0.70,234200.00,5.00,164000.00
2007-01-31,0.70,0.70,0.70,0.70,400.00,1.00,280.00
2007-02-02,0.70,0.70,0.70,0.70,6000.00,1.00,4200.00
2007-02-05,0.70,0.70,0.70,0.70,5900.00,2.00,4130.00
2007-02-07,0.70,0.70,0.70,0.70,2000.00,1.00,1400.00
2007-02-08,0.70,0.73,0.70,0.73,55800.00,4.00,39174.00
2007-02-09,0.73,0.76,0.73,0.76,51400.00,2.00,39022.00
2007-02-12,0.76,0.76,0.76,0.76,92000.00,3.00,69920.00
2007-02-13,0.79,0.79,0.79,0.79,26700.00,3.00,21093.00
2007-02-14,0.79,0.79,0.79,0.79,3500.00,1.00,2765.00
2007-02-16,0.79,0.79,0.79,0.79,2520.00,2.00,1990.80
2007-02-16,0.79,0.79,0.79,0.79,2520.00,2.00,1990.80
2007-02-19,0.79,0.82,0.79,0.82,52042.00,4.00,41413.18
2007-02-20,0.86,0.86,0.86,0.86,138177.00,10.00,118832.22
2007-02-21,0.90,0.90,0.90,0.90,62000.00,2.00,55800.00
2007-02-22,0.94,0.94,0.94,0.94,28480.00,4.00,26771.20
2007-02-23,0.98,0.98,0.94,0.94,10900.00,2.00,10642.00
2007-02-26,0.98,0.98,0.97,0.97,7700.00,4.00,7490.00
2007-02-27,0.97,0.97,0.97,0.97,1400.00,1.00,1358.00
2007-02-28,0.97,0.97,0.97,0.97,400.00,1.00,388.00
2007-03-01,1.00,1.00,1.00,1.00,76000.00,3.00,76000.00
2007-03-02,1.00,1.05,1.00,1.05,108400.00,8.00,109320.00
2007-03-05,1.05,1.05,1.05,1.05,1340.00,1.00,1407.00
2007-03-06,1.05,1.05,1.05,1.05,5200.00,2.00,5460.00
2007-03-07,1.10,1.10,1.10,1.10,47000.00,2.00,51700.00
2007-03-08,1.15,1.15,1.15,1.15,15496.00,2.00,17820.40
2007-03-08,1.15,1.15,1.15,1.15,15496.00,2.00,17820.40
2007-03-09,1.20,1.20,1.20,1.20,80814.00,3.00,96976.80
2007-03-12,1.20,1.20,1.20,1.20,7000.00,1.00,8400.00
2007-03-13,1.26,1.26,1.26,1.26,70280.00,5.00,88552.80
2007-03-14,1.32,1.32,1.32,1.32,102480.00,3.00,135273.59
2007-03-16,1.38,1.38,1.38,1.38,108200.00,4.00,149316.00
2007-03-19,1.44,1.44,1.44,1.44,210250.00,10.00,302760.00
2007-03-20,1.51,1.51,1.51,1.51,512250.00,5.00,773497.50
2007-03-21,1.58,1.58,1.58,1.58,94850.00,2.00,149863.00
2007-03-22,1.65,1.65,1.65,1.65,666600.00,10.00,1099890.00
2007-03-23,1.73,1.73,1.73,1.73,15720.00,3.00,27195.60
2007-03-26,1.81,1.81,1.81,1.81,60800.00,5.00,110048.00
2007-03-27,1.90,1.90,1.90,1.90,109680.00,7.00,208392.00
2007-03-28,1.99,1.99,1.99,1.99,157280.00,5.00,312987.19
2007-03-29,2.08,2.08,2.08,2.08,275500.00,13.00,573040.00
2007-03-30,2.18,2.18,2.18,2.18,102800.00,2.00,224104.00
2007-04-03,2.28,2.28,2.28,2.28,116640.00,11.00,265939.19
2007-04-04,2.39,2.39,2.39,2.39,114919.00,4.00,274656.41
2007-04-05,2.50,2.50,2.50,2.50,2136775.00,38.00,5341937.50
2007-04-06,3.34,3.34,3.19,3.19,744142.00,25.00,2481524.00
2007-04-10,2.62,2.62,2.38,2.60,117887272.00,24.00,308826848.00
2007-04-11,2.60,2.73,2.60,2.73,358079.00,19.00,940021.81
2007-04-16,2.86,2.86,2.86,2.86,805000.00,7.00,2302300.00
2007-04-17,3.00,3.00,3.00,3.00,166640.00,8.00,499920.00
2007-04-18,3.15,3.15,3.15,3.15,291580.00,8.00,918477.00
2007-04-19,3.30,3.30,3.30,3.30,318350.00,12.00,1050555.00
2007-04-23,3.46,3.46,3.46,3.46,611700.00,15.00,2116482.00
2007-04-24,3.46,3.63,3.46,3.63,385800.00,15.00,1372268.00
2007-04-25,3.81,3.81,3.81,3.81,155400.00,10.00,592074.00
2007-04-26,4.00,4.00,4.00,4.00,44100.00,4.00,176400.00
2007-04-27,4.00,4.20,4.00,4.20,25000.00,3.00,104434.40
2007-04-30,4.41,4.41,4.41,4.41,80105.00,7.00,353263.06
2007-05-02,4.63,4.63,4.63,4.63,120039.00,8.00,555780.56
2007-05-03,4.86,4.86,4.86,4.86,298400.00,11.00,1450224.00
2007-05-04,5.10,5.10,5.10,5.10,2031774.00,29.00,10362047.00
2007-05-07,5.10,5.10,4.85,4.85,351475.00,20.00,1729753.75
2007-05-08,4.61,5.00,4.61,4.61,2336550.00,57.00,10794211.00
2007-05-09,4.50,4.50,4.38,4.38,531951.00,41.00,2368593.50
2007-05-10,4.17,4.17,4.17,4.17,81684.00,16.00,340622.28
2007-05-11,3.97,3.97,3.97,3.97,29880.00,11.00,118623.60
2007-05-14,3.78,3.78,3.78,3.78,10064401.00,13.00,38043436.00
2007-05-15,3.60,3.60,3.60,3.60,88400.00,7.00,318240.00
2007-05-16,3.42,3.42,3.42,3.42,227490.00,9.00,778015.81
2007-05-18,3.09,3.09,3.09,3.09,56500.00,8.00,174585.00
2007-05-21,2.94,2.94,2.94,2.94,168390.00,25.00,495066.59
2007-05-23,2.76,2.76,2.76,2.76,607140.00,5.00,1675706.38
2007-05-24,2.63,2.63,2.63,2.63,412000.00,24.00,1083560.00
2007-05-25,2.64,2.76,2.64,2.65,462523.00,35.00,1243587.25
2007-05-28,2.65,2.78,2.65,2.78,21131.00,5.00,57298.12
2007-05-30,2.78,2.90,2.78,2.90,99460.00,14.00,283105.41
2007-05-31,3.00,3.04,2.80,3.04,190400.00,20.00,550666.00
2007-06-01,3.04,3.19,3.04,3.19,80078.00,10.00,254373.81
2007-06-05,3.34,3.34,3.04,3.04,211802.00,15.00,691496.69
2007-06-06,3.04,3.19,3.04,3.19,879971.00,24.00,2801032.50
2007-06-07,3.19,3.19,3.04,3.04,243974.00,17.00,753680.94
2007-06-08,3.04,3.04,2.89,3.00,350714.00,18.00,1040185.19
2007-06-11,3.15,3.15,3.15,3.15,79640.00,8.00,250866.00
2007-06-12,3.15,3.30,3.15,3.30,979448.00,21.00,3218993.50
2007-06-13,3.46,3.46,3.46,3.46,248363.00,10.00,859336.00
2007-06-14,3.63,3.63,3.29,3.29,531989.00,16.00,1821961.25
2007-06-15,3.29,3.29,3.13,3.13,155300.00,11.00,487617.00
2007-06-18,2.98,3.28,2.98,3.28,66340.00,8.00,208727.20
2007-06-19,3.28,3.30,3.12,3.28,176250.00,14.00,573698.00
2007-06-20,3.30,3.30,3.13,3.13,10500.00,4.00,33817.50
2007-06-21,3.13,3.28,3.13,3.28,410190.00,7.00,1344673.25
2007-06-22,3.44,3.44,3.12,3.44,155694.00,11.00,523852.28
2007-06-25,3.61,3.61,3.61,3.61,161300.00,14.00,582293.00
2007-06-26,3.79,3.79,3.79,3.79,10417794.00,12.00,39483440.00
2007-06-27,3.97,3.97,3.97,3.97,569230.00,12.00,2259843.00
2007-06-28,4.16,4.16,4.16,4.16,547720.00,18.00,2278515.25
2007-06-29,4.20,4.36,4.20,4.36,634200.00,22.00,2754212.00
2007-07-02,4.57,4.57,4.41,4.41,479899.00,28.00,2185149.25
2007-07-03,4.62,4.62,4.20,4.20,207053.00,11.00,904798.56
2007-07-04,4.40,4.40,3.99,3.99,463967.00,16.00,1865988.38
2007-07-05,3.80,3.99,3.80,3.80,373432.00,23.00,1419991.62
2007-07-06,3.75,3.80,3.74,3.75,589099.00,28.00,2225337.75
2007-07-09,3.75,3.75,3.57,3.75,220890.00,18.00,796955.38
2007-07-10,3.75,3.93,3.75,3.93,51673.00,6.00,201768.09
2007-07-11,4.11,4.11,4.00,4.10,360838.00,26.00,1466667.50
2007-07-12,4.29,4.29,3.90,3.90,261354.00,10.00,1033797.12
2007-07-13,3.90,3.90,3.80,3.80,203826.00,17.00,789828.81
2007-07-16,3.80,3.80,3.75,3.75,80540.00,7.00,303552.00
2007-07-17,3.57,3.57,3.57,3.57,20000.00,2.00,71400.00
2007-07-18,3.57,3.57,3.40,3.40,159335.00,17.00,542803.69
2007-07-19,3.40,3.40,3.40,3.40,55500.00,2.00,188700.00
2007-07-20,3.23,3.57,3.23,3.57,570262.00,17.00,1928646.25
2007-07-20,3.39,3.40,3.30,3.40,152240.00,13.00,507360.50
2007-07-20,3.39,3.40,3.30,3.40,152240.00,13.00,507360.50
2007-07-23,3.57,3.57,3.40,3.40,20028.00,10.00,71329.96
2007-07-24,3.40,3.57,3.23,3.57,1047190.00,19.00,3539505.50
2007-07-25,3.40,3.40,3.40,3.40,900555.00,5.00,3061887.00
2007-07-26,3.23,3.40,3.23,3.23,98380.00,8.00,317801.41
