Date,Open,High,Low,Close,Volume,Trades,Value
2006-01-05,0.00,NA,NA,14.05,NA,NA,NA
2006-01-06,14.05,NA,NA,14.05,NA,NA,NA
2006-01-09,14.05,NA,NA,14.05,NA,NA,NA
2006-01-12,14.05,NA,NA,14.05,NA,NA,NA
2006-01-13,14.05,NA,NA,14.05,NA,NA,NA
2006-01-16,14.05,NA,NA,14.05,NA,NA,NA
2006-01-17,14.05,NA,NA,14.05,NA,NA,NA
2006-01-18,14.05,NA,NA,14.05,NA,NA,NA
2006-01-19,14.05,NA,NA,14.05,NA,NA,NA
2006-01-20,14.05,NA,NA,14.75,NA,NA,NA
2006-01-23,14.75,NA,NA,14.75,NA,NA,NA
2006-01-24,14.75,NA,NA,14.75,NA,NA,NA
2006-01-25,14.75,NA,NA,15.48,NA,NA,NA
2006-01-26,15.48,NA,NA,16.25,NA,NA,NA
2006-01-27,16.25,NA,NA,16.25,NA,NA,NA
2006-01-30,16.25,NA,NA,16.25,NA,NA,NA
2006-01-31,16.25,NA,NA,16.25,NA,NA,NA
2006-02-01,16.25,NA,NA,16.25,NA,NA,NA
2006-02-02,16.25,NA,NA,16.25,NA,NA,NA
2006-02-03,16.25,NA,NA,16.25,NA,NA,NA
2006-02-06,16.25,NA,NA,16.25,NA,NA,NA
2006-02-07,16.25,NA,NA,16.25,NA,NA,NA
2006-02-08,16.25,NA,NA,16.05,NA,NA,NA
2006-02-09,16.05,NA,NA,16.05,NA,NA,NA
2006-02-10,16.05,NA,NA,16.00,NA,NA,NA
2006-02-13,16.00,NA,NA,15.21,NA,NA,NA
2006-02-14,15.21,NA,NA,15.21,NA,NA,NA
2006-02-15,15.21,NA,NA,14.45,NA,NA,NA
2006-02-16,14.45,NA,NA,15.00,NA,NA,NA
2006-02-17,15.00,NA,NA,14.60,NA,NA,NA
2006-02-20,14.60,NA,NA,14.99,NA,NA,NA
2006-02-21,14.99,NA,NA,14.99,NA,NA,NA
2006-02-22,14.99,NA,NA,14.99,NA,NA,NA
2006-02-23,14.99,NA,NA,14.99,NA,NA,NA
2006-02-24,14.99,NA,NA,14.90,NA,NA,NA
2006-02-27,14.90,NA,NA,15.00,NA,NA,NA
2006-02-28,15.00,NA,NA,15.75,NA,NA,NA
2006-03-01,15.75,NA,NA,15.75,NA,NA,NA
2006-03-02,15.75,NA,NA,15.75,NA,NA,NA
2006-03-03,15.75,NA,NA,15.75,NA,NA,NA
2006-03-06,15.75,NA,NA,15.75,NA,NA,NA
2006-03-07,15.75,NA,NA,15.75,NA,NA,NA
2006-03-08,15.75,NA,NA,15.75,NA,NA,NA
2006-03-09,15.75,NA,NA,15.69,NA,NA,NA
2006-03-10,15.69,NA,NA,15.69,NA,NA,NA
2006-03-13,15.69,NA,NA,14.91,NA,NA,NA
2006-03-14,14.91,NA,NA,14.91,NA,NA,NA
2006-03-15,14.91,NA,NA,14.91,NA,NA,NA
