Date,Open,High,Low,Close,Volume,Trades,Value
2010-12-01,1.50,1.50,1.50,1.50,2968300.00,18.00,4452450.00
2010-12-02,1.50,1.56,1.50,1.56,403500.00,10.00,608460.00
2010-12-03,1.63,1.63,1.63,1.63,363700.00,8.00,588582.00
2010-12-06,1.63,1.63,1.63,1.63,5000.00,1.00,8150.00
2010-12-07,1.63,1.63,1.63,1.63,25300.00,3.00,41419.00
2010-12-08,1.63,1.71,1.63,1.71,200000.00,2.00,338000.00
2010-12-09,1.71,1.71,1.71,1.71,4541.00,2.00,7435.83
2010-12-10,1.71,1.71,1.71,1.71,200000.00,5.00,326000.00
2010-12-13,1.71,1.71,1.71,1.71,593150.00,17.00,982834.50
2010-12-14,1.71,1.71,1.71,1.71,2150.00,1.00,3504.50
2010-12-21,1.71,1.71,1.71,1.71,23750.00,2.00,39187.50
2010-12-23,1.79,1.79,1.78,1.78,848220.00,6.00,1516331.62
2010-12-24,1.78,1.78,1.78,1.78,2000.00,1.00,3440.00
2010-12-30,1.78,1.78,1.78,1.78,20000.00,1.00,35600.00
2010-12-31,1.78,1.78,1.78,1.78,30000.00,1.00,51000.00
2011-01-13,1.78,1.78,1.78,1.78,15000.00,1.00,25500.00
2011-01-17,1.70,1.70,1.70,1.70,231780.00,3.00,394026.00
2011-02-03,1.70,1.70,1.70,1.70,2000.00,2.00,3240.00
2011-02-09,1.70,1.70,1.70,1.70,350222.00,10.00,594577.69
2011-02-10,1.70,1.70,1.70,1.70,50.00,1.00,81.00
2011-03-01,1.62,1.62,1.62,1.62,3150.00,1.00,4851.00
2011-03-02,1.62,1.62,1.62,1.62,49000.00,2.00,75460.00
2011-03-03,1.62,1.62,1.62,1.62,10100.00,1.00,15554.00
2011-03-11,1.62,1.62,1.62,1.62,500.00,1.00,770.00
2011-03-14,1.50,1.50,1.50,1.50,932806.00,6.00,1399209.00
2011-03-15,1.54,1.54,1.54,1.54,5050.00,2.00,7423.50
2011-03-24,1.47,1.47,1.47,1.47,72150.00,1.00,106060.50
2011-03-29,1.47,1.47,1.47,1.47,1850.00,1.00,2590.00
2011-03-30,1.47,1.47,1.47,1.47,200.00,1.00,300.00
2011-03-31,1.47,1.47,1.47,1.47,300.00,1.00,441.00
2011-04-12,1.47,1.47,1.47,1.47,10000.00,3.00,14000.00
2011-04-13,1.47,1.47,1.47,1.47,34900.00,2.00,48860.00
2011-04-14,1.40,1.40,1.40,1.40,562500.00,5.00,791580.00
2011-04-15,1.33,1.33,1.33,1.33,174000.00,3.00,231420.00
2011-04-18,1.27,1.27,1.27,1.27,500000.00,2.00,635000.00
2011-04-19,1.27,1.27,1.27,1.27,21000.00,2.00,25410.00
2011-04-21,1.27,1.27,1.27,1.27,10500.00,2.00,13340.00
2011-04-27,1.27,1.27,1.27,1.27,1250.00,2.00,1662.50
2011-04-28,1.27,1.27,1.27,1.27,500.00,1.00,665.00
2011-05-09,1.27,1.27,1.27,1.27,20000.00,1.00,25400.00
2011-05-09,1.27,1.27,1.27,1.27,20000.00,1.00,25400.00
2011-05-09,1.27,1.27,1.27,1.27,20000.00,1.00,25400.00
2011-05-09,1.27,1.27,1.27,1.27,20000.00,1.00,25400.00
2011-05-09,1.27,1.27,1.27,1.27,20000.00,1.00,25400.00
2011-05-16,1.27,1.27,1.27,1.27,4000.00,1.00,5320.00
2011-05-24,1.21,1.21,1.21,1.21,264016.00,2.00,319459.38
2011-05-25,1.21,1.21,1.21,1.21,300.00,1.00,345.00
2011-06-02,1.16,1.16,1.16,1.16,200.00,1.00,222.00
2011-06-10,1.16,1.16,1.16,1.16,14405.00,4.00,15989.55
2011-06-13,1.16,1.16,1.16,1.16,5000.00,1.00,5850.00
2011-06-23,1.16,1.16,1.16,1.16,250.00,1.00,302.50
2011-06-24,1.16,1.16,1.16,1.16,250.00,1.00,302.50
2011-07-04,1.11,1.11,1.11,1.11,78500.00,2.00,87135.00
2011-07-06,1.11,1.11,1.11,1.11,30000.00,1.00,31800.00
2011-07-08,1.11,1.11,1.11,1.11,185000.00,9.00,196100.00
2011-07-08,1.11,1.11,1.11,1.11,185000.00,9.00,196100.00
2011-07-12,1.11,1.11,1.11,1.11,35000.00,1.00,37100.00
2011-07-15,1.11,1.11,1.11,1.11,10000.00,1.00,11000.00
2011-07-19,1.11,1.13,1.06,1.13,1962422.00,25.00,2143998.25
2011-07-20,1.13,1.15,1.08,1.15,2575330.00,36.00,2906379.50
2011-08-01,1.15,1.15,1.15,1.15,500.00,1.00,550.00
2011-08-08,1.15,1.15,1.15,1.15,811847.00,7.00,933624.06
2011-08-10,1.15,1.15,1.15,1.15,832982.00,25.00,954466.25
2011-08-11,1.17,1.18,1.17,1.18,975632.00,16.00,1147724.38
2011-08-16,1.18,1.18,1.18,1.18,4332.00,1.00,4981.80
2011-08-17,1.13,1.13,1.13,1.13,503600.00,7.00,569068.00
2011-08-24,1.13,1.13,1.13,1.13,500.00,1.00,540.00
2011-08-26,1.13,1.13,1.13,1.13,2000.00,1.00,2260.00
2011-09-07,1.13,1.13,1.13,1.13,1742.00,2.00,1968.46
2011-09-19,1.08,1.08,1.08,1.08,284456.00,7.00,307212.47
2011-09-19,1.08,1.08,1.08,1.08,284456.00,7.00,307212.47
2011-09-20,1.08,1.08,1.08,1.08,1000.00,1.00,1120.00
2011-09-21,1.08,1.08,1.03,1.03,395544.00,6.00,419687.53
2011-09-23,1.08,1.08,1.08,1.08,1060443.00,21.00,1144778.50
2011-09-30,1.08,1.08,1.08,1.08,5475.00,2.00,5639.25
2011-10-04,1.03,1.03,1.03,1.03,50000.00,1.00,51500.00
2011-10-06,1.00,1.00,1.00,1.00,1310000.00,3.00,1310000.00
2011-10-07,0.95,0.95,0.95,0.95,100000.00,1.00,95000.00
2011-10-10,0.91,0.91,0.91,0.91,100000.00,1.00,91000.00
2011-10-11,0.87,0.87,0.87,0.87,200500.00,2.00,174435.00
2011-10-11,0.87,0.87,0.87,0.87,200500.00,2.00,174435.00
2011-10-12,0.87,0.87,0.87,0.87,44525.00,9.00,38736.75
2011-10-13,0.87,0.87,0.87,0.87,140000.00,5.00,121800.00
2011-10-14,0.87,0.87,0.87,0.87,475.00,1.00,413.25
2011-10-17,0.87,0.87,0.87,0.87,1000.00,1.00,880.00
2011-10-21,0.87,0.87,0.87,0.87,300.00,3.00,261.00
2011-10-24,0.87,0.87,0.87,0.87,6689.00,1.00,5685.65
2011-10-28,0.87,0.87,0.87,0.87,154992.00,16.00,128643.36
2011-11-09,0.87,0.87,0.87,0.87,635008.00,15.00,552456.94
2011-11-15,0.87,0.87,0.87,0.87,20000.00,5.00,17400.00
