Date,Open,High,Low,Close,Volume,Trades,Value
2004-01-06,0.00,NA,NA,85.75,NA,NA,NA
2004-01-07,85.75,NA,NA,84.00,NA,NA,NA
2004-01-08,84.00,NA,NA,82.97,NA,NA,NA
2004-01-09,82.97,NA,NA,82.44,NA,NA,NA
2004-01-12,82.44,NA,NA,82.44,NA,NA,NA
2004-01-13,82.44,NA,NA,85.00,NA,NA,NA
2004-01-14,85.00,NA,NA,89.00,NA,NA,NA
2004-01-15,89.00,NA,NA,91.00,NA,NA,NA
2004-01-16,91.00,NA,NA,90.00,NA,NA,NA
2004-01-19,90.00,NA,NA,88.00,NA,NA,NA
2004-01-20,88.00,NA,NA,90.00,NA,NA,NA
2004-01-21,90.00,NA,NA,91.20,NA,NA,NA
2004-01-22,91.20,NA,NA,91.20,NA,NA,NA
2004-01-23,91.20,NA,NA,91.00,NA,NA,NA
2004-01-26,91.00,NA,NA,91.25,NA,NA,NA
2004-01-27,91.25,NA,NA,89.51,NA,NA,NA
2004-01-28,89.51,NA,NA,87.02,NA,NA,NA
2004-01-29,87.02,NA,NA,89.00,NA,NA,NA
2004-01-30,89.00,NA,NA,89.50,NA,NA,NA
2004-02-03,89.50,NA,NA,90.00,NA,NA,NA
2004-02-04,90.00,NA,NA,90.00,NA,NA,NA
2004-02-05,90.00,NA,NA,92.99,NA,NA,NA
2004-02-06,92.99,NA,NA,88.50,NA,NA,NA
2004-02-09,88.50,NA,NA,88.01,NA,NA,NA
2004-02-10,88.01,NA,NA,88.98,NA,NA,NA
2004-02-11,88.98,NA,NA,91.00,NA,NA,NA
2004-02-12,91.00,NA,NA,91.00,NA,NA,NA
2004-02-13,91.00,NA,NA,91.00,NA,NA,NA
2004-02-16,91.00,NA,NA,93.00,NA,NA,NA
2004-02-17,93.00,NA,NA,97.65,NA,NA,NA
2004-02-18,97.65,NA,NA,100.00,NA,NA,NA
2004-02-19,100.00,NA,NA,101.00,NA,NA,NA
2004-02-20,101.00,NA,NA,95.95,NA,NA,NA
2004-02-23,95.95,NA,NA,95.95,NA,NA,NA
2004-02-24,95.95,NA,NA,92.00,NA,NA,NA
2004-02-25,92.00,NA,NA,93.99,NA,NA,NA
2004-02-26,93.99,NA,NA,93.00,NA,NA,NA
2004-02-27,93.00,NA,NA,95.20,NA,NA,NA
2004-03-01,95.20,NA,NA,96.51,NA,NA,NA
2004-03-02,96.51,NA,NA,96.51,NA,NA,NA
2004-03-03,96.51,NA,NA,95.00,NA,NA,NA
2004-03-04,95.00,NA,NA,92.17,NA,NA,NA
2004-03-05,92.17,NA,NA,90.00,NA,NA,NA
2004-03-08,90.00,NA,NA,87.10,NA,NA,NA
2004-03-09,87.10,NA,NA,89.99,NA,NA,NA
2004-03-10,89.99,NA,NA,92.00,NA,NA,NA
2004-03-11,92.00,NA,NA,92.56,NA,NA,NA
2004-03-12,92.56,NA,NA,93.00,NA,NA,NA
2004-03-15,93.00,NA,NA,90.00,NA,NA,NA
2004-03-16,90.00,NA,NA,90.00,NA,NA,NA
2004-03-17,90.00,NA,NA,89.00,NA,NA,NA
2004-03-18,89.00,NA,NA,87.00,NA,NA,NA
2004-03-19,87.00,NA,NA,88.01,NA,NA,NA
2004-03-22,88.01,NA,NA,90.00,NA,NA,NA
2004-03-23,90.00,NA,NA,88.00,NA,NA,NA
2004-03-24,88.00,NA,NA,88.20,NA,NA,NA
2004-03-25,88.20,NA,NA,88.50,NA,NA,NA
2004-03-26,88.50,NA,NA,88.50,NA,NA,NA
2004-03-29,88.50,NA,NA,88.50,NA,NA,NA
2004-03-30,88.50,NA,NA,88.90,NA,NA,NA
2004-03-31,88.90,NA,NA,87.00,NA,NA,NA
2004-04-01,87.00,NA,NA,87.00,NA,NA,NA
2004-04-02,87.00,NA,NA,88.50,NA,NA,NA
2004-04-05,88.50,NA,NA,85.50,NA,NA,NA
2004-04-06,85.50,NA,NA,87.00,NA,NA,NA
2004-04-07,87.00,NA,NA,88.00,NA,NA,NA
2004-04-08,88.00,NA,NA,87.00,NA,NA,NA
2004-04-13,87.00,NA,NA,84.60,NA,NA,NA
2004-04-14,84.60,NA,NA,88.83,NA,NA,NA
2004-04-15,88.83,NA,NA,93.27,NA,NA,NA
2004-04-16,93.27,NA,NA,97.93,NA,NA,NA
2004-04-19,97.93,NA,NA,102.82,NA,NA,NA
2004-04-20,102.82,NA,NA,98.00,NA,NA,NA
2004-04-21,98.00,NA,NA,96.99,NA,NA,NA
2004-04-22,96.99,NA,NA,94.96,NA,NA,NA
2004-04-23,94.96,NA,NA,96.00,NA,NA,NA
2004-04-26,96.00,NA,NA,98.90,NA,NA,NA
2004-04-27,98.90,NA,NA,88.83,NA,NA,NA
2004-04-28,88.83,NA,NA,105.00,NA,NA,NA
2004-04-29,105.00,NA,NA,103.80,NA,NA,NA
2004-04-30,103.80,NA,NA,103.61,NA,NA,NA
2004-05-03,103.61,NA,NA,107.49,NA,NA,NA
2004-05-05,107.49,NA,NA,110.00,NA,NA,NA
2004-05-06,110.00,NA,NA,107.00,NA,NA,NA
2004-05-06,107.00,NA,NA,112.35,NA,NA,NA
2004-05-10,112.35,NA,NA,119.72,NA,NA,NA
2004-05-11,119.72,NA,NA,125.70,NA,NA,NA
2004-05-12,125.70,NA,NA,131.70,NA,NA,NA
2004-05-13,131.70,NA,NA,131.70,NA,NA,NA
2004-05-14,131.70,NA,NA,127.50,NA,NA,NA
2004-05-17,127.50,NA,NA,128.00,NA,NA,NA
2004-05-18,128.00,NA,NA,126.00,NA,NA,NA
