Date,Open,High,Low,Close,Volume,Trades,Value
2007-07-20,2.89,2.89,2.63,2.63,354417.00,18.00,937816.69
2007-07-25,1.92,1.92,1.92,1.92,606000.00,5.00,1163520.00
2007-07-26,2.01,2.01,2.01,2.01,200000.00,1.00,402000.00
2007-07-27,2.11,2.11,2.11,2.11,130000.00,3.00,274300.00
2007-07-30,2.21,2.21,2.21,2.21,25000.00,3.00,55250.00
2007-07-31,2.32,2.32,2.32,2.32,135000.00,4.00,313200.00
2007-08-01,2.43,2.43,2.43,2.43,130000.00,3.00,315900.00
2007-08-02,2.55,2.55,2.55,2.55,30000.00,1.00,76500.00
2007-08-03,2.67,2.67,2.67,2.67,70000.00,2.00,186900.00
2007-08-06,2.80,2.80,2.80,2.80,359500.00,11.00,1006600.00
2007-08-07,2.93,2.94,2.66,2.94,1543000.00,88.00,4182802.75
2007-08-08,2.94,3.00,2.82,2.82,960093.00,54.00,2835512.50
2007-08-09,2.95,2.95,2.85,2.90,502077.00,31.00,1472334.88
2007-08-13,3.19,3.19,3.19,3.19,589500.00,14.00,1880505.00
2007-08-14,3.34,3.34,3.21,3.21,1168712.00,27.00,3868183.25
2007-08-15,3.21,3.36,3.05,3.05,1231370.00,41.00,3770998.50
2007-08-16,3.20,3.20,2.90,2.90,2065237.00,19.00,6073187.50
2007-08-17,2.90,2.90,2.76,2.76,62649.00,7.00,173037.23
2007-08-20,2.89,2.89,2.63,2.63,354417.00,18.00,937816.69
2007-08-21,2.50,2.63,2.50,2.50,701693.00,24.00,1758001.62
2007-08-22,2.38,2.38,2.38,2.38,182534.00,10.00,434430.91
2007-08-23,2.27,2.27,2.27,2.27,471950.00,11.00,1071326.50
2007-08-24,2.16,2.16,2.16,2.16,335660.00,14.00,725025.62
2007-08-27,2.06,2.06,2.06,2.06,220700.00,14.00,454642.00
2007-08-28,2.06,2.06,1.96,1.96,31369034.00,16.00,61483808.00
2007-08-29,2.05,2.05,1.87,1.87,5869763.00,35.00,10980057.00
2007-08-30,1.87,1.96,1.80,1.96,2752000.00,41.00,5239423.00
2007-08-31,2.05,2.05,2.05,2.05,66680.00,2.00,136694.00
2007-09-03,2.15,2.15,2.15,2.15,1515000.00,2.00,3257250.00
2007-09-04,2.25,2.25,2.25,2.25,45000.00,4.00,101250.00
2007-09-05,2.36,2.36,2.36,2.36,3649785.00,18.00,8613493.00
2007-09-06,2.47,2.47,2.47,2.47,63078000.00,10.00,155802656.00
2007-09-07,2.59,2.59,2.59,2.59,43405000.00,12.00,112418952.00
2007-09-10,2.71,2.71,2.47,2.60,9344313.00,86.00,24180656.00
2007-09-11,2.71,2.73,2.56,2.73,7429593.00,76.00,19953002.00
2007-09-12,2.65,2.68,2.60,2.60,1626000.00,26.00,4253652.00
2007-09-13,2.47,2.47,2.47,2.47,1310510.00,11.00,3236959.75
2007-09-14,2.35,2.35,2.35,2.35,762365.00,21.00,1791557.75
2007-09-17,2.24,2.30,2.24,2.24,1079000.00,24.00,2419642.00
2007-09-18,2.13,2.35,2.13,2.35,950010.00,16.00,2066253.50
2007-09-19,2.35,2.35,2.24,2.27,437964.00,17.00,997486.88
2007-09-20,2.20,2.20,2.16,2.16,2961500.00,12.00,6421440.00
2007-09-21,2.17,2.17,2.06,2.06,2928345.00,22.00,6141912.00
2007-09-24,2.15,2.15,1.98,2.00,1279800.00,15.00,2584773.00
2007-09-25,2.06,2.09,1.90,1.95,3425600.00,40.00,6699135.50
2007-09-26,2.00,2.03,1.98,2.00,1790000.00,24.00,3568482.00
2007-09-28,2.05,2.10,1.93,2.00,7132050.00,51.00,13957387.00
2007-10-02,1.99,1.99,1.90,1.98,5768010.00,21.00,10998722.00
2007-10-03,2.00,2.00,1.90,1.94,5111200.00,20.00,9946583.00
2007-10-04,2.03,2.03,1.95,2.00,1460588.00,29.00,2923452.50
2007-10-05,2.00,2.00,1.92,2.00,1750100.00,16.00,3385369.00
2007-10-08,2.05,2.05,2.01,2.02,333000.00,7.00,670960.00
2007-10-09,1.95,2.00,1.92,2.00,1696404.00,30.00,3302039.00
2007-10-10,2.00,2.00,1.90,1.99,1593080.00,25.00,3060183.75
2007-10-15,1.90,1.95,1.90,1.95,3363510.00,26.00,6405399.50
2007-10-16,1.95,2.00,1.92,2.00,628112.00,17.00,1234765.00
2007-10-17,1.90,1.91,1.90,1.90,825000.00,10.00,1567510.00
2007-10-18,1.90,1.95,1.83,1.95,460010.00,19.00,870519.50
2007-10-19,2.00,2.00,1.88,1.89,118300.00,9.00,225728.00
2007-10-22,1.97,1.98,1.89,1.98,1154920.00,27.00,2271422.50
2007-10-23,1.96,1.99,1.90,1.99,432600.00,25.00,857158.00
2007-10-24,2.00,2.00,1.90,1.90,219444.00,11.00,417217.09
2007-10-25,1.90,1.98,1.90,1.90,538440.00,11.00,1043036.00
2007-10-26,1.95,1.95,1.93,1.93,171000.00,6.00,332250.00
2007-10-29,1.93,1.93,1.84,1.84,295500.00,9.00,548515.00
2007-10-30,1.93,1.93,1.75,1.90,665200.00,14.00,1220713.00
2007-10-31,1.99,1.99,1.82,1.93,706100.00,15.00,1312679.00
2007-11-01,1.95,2.02,1.86,2.02,3634167.00,21.00,6893958.50
2007-11-02,1.92,1.98,1.92,1.98,812000.00,13.00,1565640.00
2007-11-05,1.90,1.91,1.89,1.89,534762.00,18.00,1011390.44
