Date,Close,Open
2008-06-18,5.14,5.14
2008-06-19,4.9,5.13
2008-06-20,4.66,4.72
2008-06-23,4.89,4.49
2008-06-24,4.65,4.65
2008-06-25,4.42,4.42
2008-06-26,4.2,4.2
2008-06-27,4.18,4.01
2008-06-30,4.3,4.04
2008-07-01,4.45,4.22
2008-07-02,4.67,4.67
2008-07-03,4.9,4.9
2008-07-04,5.14,5.09
2008-07-07,4.89,4.9
2008-07-08,4.65,4.65
2008-07-09,4.42,4.42
2008-07-10,4.2,4.2
2008-07-11,3.99,3.99
2008-07-14,3.8,3.8
2008-07-15,3.61,3.61
2008-07-16,3.43,3.43
2008-07-17,3.26,3.26
2008-07-18,3.1,3.1
2008-07-21,2.95,2.95
2008-07-22,2.81,2.81
2008-07-23,2.67,2.67
2008-07-24,2.54,2.54
2008-07-25,2.42,2.42
2008-07-28,2.54,2.46
2008-07-29,2.6,2.65
2008-07-30,2.69,2.72
2008-07-31,2.81,2.79
2008-08-01,2.9,2.91
2008-08-04,2.93,2.98
2008-08-05,2.83,2.99
2008-08-06,2.84,2.8
2008-08-07,2.71,2.71
2008-08-08,2.58,2.72
2008-08-11,2.69,2.64
2008-08-12,2.7,2.7
2008-08-13,2.71,2.72
2008-08-14,2.58,2.63
2008-08-15,2.68,2.49
2008-08-18,2.55,2.58
2008-08-19,2.67,2.61
2008-08-21,2.46,2.45
2008-08-22,2.34,2.34
2008-08-25,2.23,2.23
2008-08-26,2.12,2.19
2008-08-27,2.22,2.22
2008-08-28,2.33,2.33
2008-08-29,2.44,2.44
2008-09-01,2.56,2.56
2008-09-02,2.68,2.68
2008-09-03,2.81,2.79
2008-09-04,2.79,2.79
2008-09-05,2.77,2.77
2008-09-08,2.75,2.75
2008-09-09,2.73,2.73
2008-09-10,2.71,2.71
2008-09-11,2.69,2.69
2008-09-12,2.67,2.67
2008-09-15,2.65,2.65
2008-09-16,2.63,2.63
2008-09-17,2.61,2.61
2008-09-18,2.59,2.59
2008-09-19,2.57,2.57
2008-09-22,2.55,2.57
2008-09-23,2.53,2.53
2008-09-24,2.51,2.51
2008-09-25,2.49,2.49
2008-09-26,2.47,2.47
2008-10-02,2.45,2.45
2008-10-03,2.43,2.43
2008-10-06,2.41,2.41
2008-10-07,2.41,2.41
2008-10-08,2.39,2.39
2008-10-09,2.37,2.38
2008-10-10,2.35,2.35
2008-10-13,2.33,2.33
2008-10-14,2.31,2.31
2008-10-15,2.29,2.29
2008-10-16,2.27,2.27
2008-10-17,2.25,2.25
2008-10-20,2.23,2.23
2008-10-21,2.21,2.21
2008-10-22,2.19,2.19
2008-10-23,2.17,2.17
2008-10-24,2.15,2.15
2008-10-27,2.13,2.13
2008-10-28,2.03,2.03
2008-10-29,1.93,1.97
2008-10-30,2,1.84
2008-10-31,2.04,1.94
2008-11-03,2.08,1.95
2008-11-04,2,1.99
2008-11-05,1.9,1.9
2008-11-07,2.08,2.08
2008-11-10,2.18,2.18
2008-11-11,2.28,2.28
