Date,Open,High,Low,Close,Volume,Trades,Value
2010-11-10,3.90,3.90,3.90,3.90,500.00,1.00,1855.00
2010-11-24,3.71,3.71,3.71,3.71,10060800.00,8.00,37325568.00
2010-11-25,3.71,3.71,3.71,3.71,526.00,1.00,1856.78
2010-11-26,3.71,3.71,3.71,3.71,70.00,1.00,247.10
2010-12-01,3.71,3.71,3.71,3.71,2000.00,2.00,7060.00
2010-12-03,3.71,3.71,3.71,3.71,380.00,3.00,1341.40
2010-12-21,3.53,3.53,3.53,3.53,5680000.00,6.00,20050400.00
2010-12-23,3.36,3.36,3.36,3.36,11760000.00,9.00,39513600.00
2010-12-31,3.36,3.36,3.36,3.36,100.00,1.00,320.00
2011-01-05,3.20,3.20,3.20,3.20,2797400.00,6.00,8951680.00
2011-01-07,3.04,3.04,3.04,3.04,70000.00,1.00,212800.00
2011-01-10,3.04,3.04,3.04,3.04,500.00,1.00,1445.00
2011-01-25,3.04,3.04,3.04,3.04,1000.00,1.00,2890.00
2011-01-27,3.04,3.04,3.04,3.04,800000.00,21.00,2312000.00
2011-01-31,3.04,3.04,3.04,3.04,250.00,1.00,722.50
2011-02-09,3.04,3.04,3.04,3.04,300.00,1.00,867.00
2011-02-11,2.89,2.89,2.89,2.89,250000.00,2.00,722500.00
2011-02-14,2.89,2.89,2.89,2.89,10000.00,1.00,27500.00
2011-02-18,2.89,2.89,2.89,2.89,200.00,1.00,550.00
2011-02-22,2.89,2.89,2.89,2.89,10000.00,1.00,27500.00
2011-03-05,0.58,0.58,0.58,0.58,70000.00,1.00,40600.00
2011-03-07,2.75,2.75,2.75,2.75,7360000.00,46.00,20240000.00
2011-03-14,2.75,2.75,2.75,2.75,200.00,1.00,524.00
2011-03-16,2.62,2.62,2.62,2.62,160000.00,2.00,419200.00
2011-03-18,2.62,2.62,2.62,2.62,3000.00,3.00,7470.00
2011-03-22,2.62,2.62,2.62,2.62,10000.00,1.00,24900.00
2011-03-25,2.56,2.56,2.56,2.56,1500.00,2.00,3660.00
2011-03-28,2.56,2.56,2.56,2.56,5000.00,50.00,12200.00
2011-03-29,2.56,2.56,2.56,2.56,5000.00,1.00,12200.00
