Date,Open,High,Low,Close,Volume,Trades,Value
2009-07-09,10.50,10.50,10.00,10.00,302000.00,16.00,3036110.00
2009-07-20,9.50,9.50,9.50,10.00,5000.00,1.00,47500.00
2009-07-21,9.50,9.50,9.50,10.00,200.00,1.00,1900.00
2009-07-24,9.50,9.50,9.50,9.50,50100.00,2.00,475950.00
2009-07-27,9.03,9.03,9.03,9.03,3000.00,2.00,27090.00
2009-07-31,9.03,9.03,9.03,9.03,356422.00,1.00,3218490.75
2009-08-03,8.58,8.58,8.58,9.03,1000.00,2.00,8580.00
2009-08-05,8.58,8.58,8.58,8.58,150000.00,3.00,1287000.00
2009-08-12,8.16,8.16,8.16,8.58,100.00,1.00,816.00
2009-08-13,8.16,8.16,8.16,8.58,100.00,1.00,816.00
2009-08-17,7.76,7.76,7.76,8.16,200.00,1.00,1552.00
2009-08-18,7.76,7.76,7.76,7.76,600.00,2.00,4656.00
2009-08-21,7.76,7.76,7.76,8.16,1700.00,3.00,13192.00
2009-08-24,7.76,7.76,7.76,7.76,728620.00,10.00,5654091.00
2009-08-26,7.02,7.02,7.02,7.38,200.00,2.00,1404.00
2009-08-27,7.02,7.02,7.02,7.38,1200.00,2.00,8424.00
2009-08-28,7.02,7.02,7.02,7.38,100.00,1.00,702.00
2009-09-04,7.02,7.02,7.02,7.38,8200.00,4.00,57564.00
2009-09-08,7.30,7.30,7.30,7.30,100.00,1.00,694.00
2009-09-09,7.30,7.30,7.30,7.30,2900.00,1.00,20126.00
2009-10-05,7.30,7.30,7.30,7.30,80000.00,2.00,555200.00
2009-10-09,7.30,7.30,7.30,7.30,100.00,1.00,694.00
2009-10-12,7.30,7.30,7.30,7.30,2000.00,1.00,13880.00
2009-10-19,7.30,7.30,7.30,7.30,9500.00,2.00,65930.00
2009-10-22,6.94,6.94,6.94,6.94,325988.00,2.00,2262356.75
2009-10-23,6.94,6.94,6.94,6.94,40000.00,1.00,264000.00
2009-10-27,6.60,6.60,6.60,6.60,492386.00,1.00,3249747.50
2009-11-11,6.27,6.27,6.27,6.27,5000000.00,3.00,31350000.00
2009-11-16,6.27,6.27,6.27,6.27,1000.00,1.00,5960.00
2009-11-17,6.27,6.27,6.27,6.27,200.00,1.00,1192.00
2009-11-19,6.27,6.27,6.27,6.27,1000.00,1.00,5960.00
2009-11-24,6.27,6.27,6.27,6.27,100.00,1.00,596.00
2009-11-30,6.27,6.27,6.27,6.27,300.00,2.00,1788.00
2009-12-10,6.27,6.27,6.27,6.27,200.00,1.00,1192.00
2009-12-16,5.96,5.96,5.96,5.96,50000.00,1.00,298000.00
2009-12-17,5.67,5.67,5.67,5.67,50100.00,2.00,284067.00
2010-01-26,5.67,5.67,5.67,5.67,400.00,2.00,2156.00
2010-01-28,5.67,5.67,5.67,5.67,400.00,1.00,2156.00
2010-02-01,5.67,5.67,5.67,5.67,103.00,1.00,555.17
2010-03-02,5.67,5.67,5.67,5.67,1000.00,1.00,5390.00
2010-03-05,5.67,5.67,5.67,5.67,1000.00,1.00,5670.00
2010-04-26,5.67,5.67,5.67,5.67,500.00,1.00,2975.00
2010-04-30,5.67,5.67,5.67,5.67,500.00,1.00,2695.00
2010-05-05,5.67,5.67,5.67,5.67,51875.00,1.00,294131.25
2010-05-24,5.67,5.67,5.67,5.67,500.00,1.00,2835.00
2010-05-26,5.67,5.67,5.67,5.67,500.00,1.00,2835.00
2010-06-03,5.67,5.67,5.67,5.67,403100.00,3.00,2285577.00
2010-06-03,5.67,5.67,5.67,5.67,403100.00,3.00,2285577.00
2010-06-23,5.67,5.67,5.67,5.67,100.00,1.00,539.00
2010-06-28,5.67,5.67,5.67,5.67,1700.00,1.00,9163.00
2010-07-13,5.67,5.67,5.67,5.67,5960.00,4.00,35462.00
2010-07-29,5.67,5.67,5.67,5.67,1500.00,1.00,8925.00
2010-07-30,5.67,5.67,5.67,5.67,3750.00,3.00,21562.50
2010-08-04,5.67,5.67,5.67,5.67,1850.00,4.00,10489.50
2010-08-09,5.67,5.67,5.67,5.67,2137.00,2.00,12715.15
2010-08-16,5.67,5.67,5.67,5.67,1927.00,5.00,11462.95
2010-08-17,5.67,5.67,5.67,5.67,15700.00,2.00,93415.00
2010-08-24,5.55,5.55,5.55,5.55,10550.00,10.00,55918.50
2010-08-25,5.55,5.55,5.55,5.55,100.00,1.00,528.00
2010-08-26,5.55,5.55,5.55,5.55,100.00,2.00,582.00
