Date,Close,Open
2007-11-14,4.2,4.2
2007-11-15,4.41,4.41
2007-11-16,4.63,4.63
2007-11-19,4.86,4.86
2007-11-20,4.86,5.02
2007-11-21,5.1,5.1
2007-11-22,5.35,5.35
2007-11-23,5.61,5.61
2007-11-26,5.89,5.89
2007-11-27,6.18,6.18
2007-11-28,6.48,6.48
2007-11-29,6.8,6.8
2007-11-30,7.14,7.14
2007-12-03,7.14,7.34
2007-12-04,7.49,7.49
2007-12-05,7.86,7.86
2007-12-06,8.25,8.25
2007-12-07,7.99,8.44
2007-12-10,8.38,8.3
2007-12-11,8.78,8.79
2007-12-12,9,8.79
2007-12-13,8.57,8.59
2007-12-14,8.5,8.36
2007-12-17,8.92,8.64
2007-12-18,8.48,8.55
2007-12-21,8.06,8.06
2007-12-24,7.7,7.74
2007-12-28,8.01,7.87
2007-12-31,8.41,8.07
2008-01-02,8.01,8.49
2008-01-03,7.75,8.24
2008-01-04,8.13,8.05
2008-01-07,8,7.95
2008-01-08,8.2,8.06
2008-01-09,8,7.89
2008-01-10,8,8
2008-01-11,8,7.66
2008-01-14,7.66,7.88
2008-01-15,8,7.76
2008-01-16,7.6,7.7
2008-01-17,7.97,7.6
2008-01-18,7.58,7.75
2008-01-21,7.9,7.33
2008-01-22,8,7.77
2008-01-23,8,8.06
2008-01-24,8,8.01
2008-01-25,7.9,7.94
2008-01-28,7.6,7.96
2008-01-29,7.98,7.56
2008-01-30,8.37,8.27
2008-01-31,7.96,8.32
2008-02-01,8.35,7.96
2008-02-04,8.4,8.04
2008-02-05,8,8.25
2008-02-06,7.6,7.75
2008-02-07,7.8,7.66
2008-02-08,8.37,8.37
2008-02-11,8.5,8.62
2008-02-12,8.62,8.69
2008-02-13,9.05,9.05
2008-02-14,9.35,9.35
2008-02-15,8.89,9.05
2008-02-18,9,8.73
2008-02-19,9.45,9.18
2008-02-20,9.6,9.45
2008-02-21,9.69,9.74
2008-02-22,10,9.95
2008-02-25,10.49,10.26
2008-02-26,11,10.86
2008-02-27,11.3,11.14
2008-02-28,11.86,11.86
2008-02-29,12.45,12.45
2008-03-03,12.2,11.97
2008-03-04,11.59,11.73
2008-03-05,12.15,12.02
2008-03-06,11.55,12.02
2008-03-07,12.12,12.12
2008-03-10,12,12.4
2008-03-11,11.5,11.96
2008-03-12,10.93,11.1
2008-03-13,10.4,10.76
2008-03-14,10.92,10.8
2008-03-17,11.46,11.27
2008-03-18,12.03,11.94
2008-03-20,12.2,12.0266
2008-03-25,11.59,11.9
2008-03-26,11.02,11.39
2008-03-27,10.47,10.67
2008-03-28,9.95,9.96
2008-03-31,10.4,10.21
2008-04-01,10.29,10.32
2008-04-02,10.5,10.16
2008-04-03,10.47,10.32
2008-04-04,10.8,10.43
2008-04-07,10.8,11.24
2008-04-08,10.8,10.89
2008-04-09,10.5,10.41
2008-04-10,10.9,10.54
2008-04-11,11,10.8
2008-04-14,10.6,11.13
2008-04-15,11.05,10.76
2008-04-16,10.5,10.67
2008-04-17,10,10.22
2008-04-18,9.5,9.8
2008-04-21,9.79,9.41
2008-04-22,10.2,9.45
2008-04-23,9.73,10.03
2008-04-24,9.99,9.93
2008-04-25,10,10.09
