Date,Open,High,Low,Close,Volume,Trades,Value
2008-05-27,1.83,1.83,1.83,1.83,29196000.00,395.00,53428680.00
2008-05-28,1.92,1.92,1.92,1.92,3440000.00,80.00,6604800.00
2008-05-30,2.01,2.01,2.01,2.01,496000.00,34.00,996960.00
2008-06-02,2.11,2.11,2.11,2.11,150000.00,6.00,316500.00
2008-06-03,2.21,2.21,2.21,2.21,10000.00,2.00,22100.00
2008-06-04,2.21,2.21,2.21,2.21,608000.00,19.00,1343680.00
2008-06-05,2.32,2.32,2.10,2.30,45719736.00,437.00,102989128.00
2008-06-06,2.27,2.39,2.19,2.28,34489772.00,260.00,78061264.00
2008-06-09,2.28,2.28,2.28,2.28,3194669.00,95.00,7283845.50
2008-06-10,2.28,2.28,2.28,2.28,1622096.00,40.00,3698379.00
2008-06-11,2.28,2.28,2.28,2.28,3609295.00,64.00,8229192.50
2008-06-12,2.28,2.28,2.28,2.28,59536568.00,117.00,135743376.00
2008-06-13,2.28,2.28,2.28,2.28,4321574.00,69.00,9853189.00
2008-06-16,2.17,2.17,2.17,2.17,1840820.00,49.00,3994579.50
2008-06-17,2.07,2.07,2.07,2.07,1788241.00,51.00,3701658.75
2008-06-18,1.97,1.97,1.97,1.97,2182041.00,48.00,4298621.00
2008-06-19,1.88,2.06,1.88,1.88,68897456.00,105.00,132293960.00
2008-06-20,1.79,1.79,1.79,1.79,3767046.00,83.00,6743012.50
2008-06-23,1.71,1.71,1.71,1.71,7249430.00,91.00,12396525.00
2008-06-24,1.63,1.79,1.63,1.68,22083896.00,60.00,36071084.00
2008-06-25,1.76,1.76,1.71,1.76,3260549.00,70.00,5735866.00
2008-06-26,1.84,1.84,1.84,1.84,1344000.00,22.00,2472960.00
2008-06-27,1.93,1.93,1.93,1.93,12692000.00,8.00,24495560.00
2008-06-30,2.02,2.02,2.02,2.02,191600.00,6.00,387032.00
2008-07-01,2.12,2.12,2.12,2.12,2959315.00,12.00,6273748.00
2008-07-02,2.22,2.22,2.22,2.22,8151465.00,13.00,18096252.00
2008-07-03,2.33,2.33,2.11,2.33,46872776.00,324.00,109094648.00
2008-07-04,2.32,2.44,2.22,2.44,30115812.00,149.00,72488128.00
2008-07-07,2.55,2.56,2.32,2.40,21869848.00,155.00,51818652.00
2008-07-08,2.50,2.50,2.28,2.28,5576452.00,97.00,12799563.00
2008-07-09,2.17,2.17,2.17,2.17,2038523.00,45.00,4423595.00
2008-07-10,2.07,2.27,2.07,2.27,10279882.00,74.00,21516572.00
2008-07-11,2.37,2.37,2.16,2.29,2864480.00,63.00,6417417.00
2008-07-14,2.38,2.39,2.19,2.28,6014319.00,67.00,13333579.00
2008-07-15,2.17,2.17,2.17,2.17,3161146.00,22.00,6859687.00
2008-07-16,2.07,2.27,2.07,2.27,7390241.00,57.00,15297799.00
2008-07-17,2.27,2.27,2.16,2.16,3370179.00,44.00,7338707.00
2008-07-18,2.26,2.26,2.06,2.06,12105572.00,102.00,26103276.00
2008-07-21,2.07,2.16,1.96,1.96,2291286.00,68.00,4619263.50
2008-07-22,2.00,2.05,1.95,2.05,3524627.00,88.00,7135488.00
2008-07-23,2.15,2.15,1.95,1.95,5108771.00,153.00,10507675.00
2008-07-24,1.95,2.04,1.86,2.04,4434869.00,122.00,8738341.00
2008-07-25,2.14,2.14,1.94,2.10,5156936.00,124.00,10405208.00
2008-07-28,2.16,2.20,2.16,2.20,5154431.00,68.00,11317887.00
2008-07-29,2.31,2.31,2.09,2.31,10728863.00,206.00,24098896.00
2008-07-30,2.42,2.42,2.20,2.20,17338300.00,168.00,39508884.00
2008-07-31,2.30,2.31,2.25,2.31,4108008.00,121.00,9468491.00
2008-08-01,2.30,2.40,2.20,2.20,8320887.00,193.00,18816206.00
2008-08-04,2.31,2.31,2.09,2.09,13135995.00,107.00,28391918.00
2008-08-05,1.67,1.67,1.67,1.67,2222901.00,20.00,3712244.75
