Date,Close,Open
2003-03-21,1.03,1.03
2003-03-24,1.03,1.03
2003-03-25,1.08,1.08
2003-04-01,1.12,1.12
2003-04-03,1.12,1.12
2003-04-29,1.12,1.12
2003-04-30,1.12,1.12
2003-06-10,1.12,1.12
2003-07-21,1.12,1.12
2003-07-29,1.12,1.12
2003-10-15,1.12,1.12
2004-03-17,1.03,1.03
2004-05-20,1.03,1.03
2004-06-18,1.03,1.03
2004-06-25,1.03,1.03
2004-11-05,1.03,1.03
2006-04-13,1.03,0.99
2006-04-20,1.03,1.03
2006-05-22,1.03,1.03
2006-06-23,1.03,1.03
2006-09-18,0.98,0.98
2006-09-28,0.98,0.98
2007-02-27,0.98,0.98
2007-04-04,0.98,0.98
2007-04-30,0.98,0.98
2007-06-15,0.98,0.98
2007-06-16,0.98,0.98
2007-06-17,0.98,0.98
2007-06-20,0.94,0.94
2007-06-25,0.94,0.94
2007-06-27,0.94,0.94
2007-06-28,0.94,0.94
2007-07-02,0.94,0.94
2007-07-03,0.98,0.98
2007-07-05,0.98,0.98
2007-07-10,0.98,0.98
2007-07-11,0.98,0.98
2007-07-12,1.02,1.02
2007-07-17,1.07,1.07
2007-07-25,1.12,1.12
2007-07-27,1.12,1.12
2007-08-01,1.12,1.12
2007-08-02,1.12,1.12
2007-08-03,1.17,1.17
2007-08-07,1.17,1.17
2007-08-16,1.18,1.18
2007-08-21,1.18,1.18
2007-08-23,1.18,1.18
2007-09-03,1.18,1.18
2007-09-05,1.18,1.18
2007-09-13,1.18,1.18
2007-09-20,1.18,1.18
2007-09-24,1.23,1.23
2007-09-26,1.23,1.23
2007-10-02,1.29,1.29
2007-10-15,1.29,1.29
2007-10-17,1.35,1.35
2007-10-18,1.41,1.41
2007-10-19,1.41,1.41
2007-10-30,1.4,1.41
2007-10-31,1.47,1.47
2007-11-01,1.54,1.54
2007-11-02,1.54,1.61
2007-11-14,1.55,1.55
2007-11-16,1.55,1.55
2007-11-19,1.55,1.55
2007-11-20,1.55,1.55
2007-11-21,1.55,1.55
2007-11-26,1.62,1.61
2007-11-27,1.7,1.7
2007-12-06,1.75,1.75
2007-12-12,1.75,1.68
2007-12-13,1.83,1.83
2007-12-14,1.83,1.83
2007-12-17,1.83,1.83
2008-01-08,1.83,1.83
2008-01-14,1.83,1.83
2008-01-15,1.83,1.83
2008-01-17,1.92,1.92
2008-01-18,1.92,1.92
2008-01-23,2.01,2.01
2008-01-24,2.01,2.1
2008-01-25,2.01,2.11
2008-01-29,2.01,2.01
2008-01-30,2.11,2.11
2008-02-01,2.21,2.21
2008-02-05,2.21,2.31
2008-02-06,2.21,2.3
2008-02-08,2.43,2.43
2008-02-12,2.55,2.55
2008-02-13,2.55,2.55
2008-02-19,2.55,2.55
2008-02-26,2.67,2.67
2008-02-27,2.8,2.8
2008-02-29,2.94,2.94
2008-03-04,2.94,2.94
2008-03-06,2.94,2.94
2008-03-07,2.94,2.94
2008-03-10,3.08,3.08
2008-03-12,3.23,3.23
2008-03-17,3.23,3.23
2008-03-27,3.39,3.39
2008-03-28,3.39,3.39
2008-03-31,3.55,3.55
2008-04-04,3.55,3.55
2008-04-07,3.55,3.55
2008-04-08,3.55,3.55
2008-04-11,3.72,3.72
2008-04-14,3.72,3.72
2008-04-16,3.72,3.72
2008-04-17,3.72,3.72
2008-04-23,3.9,3.9
2008-04-24,4.09,4.09
2008-04-28,4.09,4.09
2008-04-29,4.09,4.09
2008-04-30,4.09,4.09
2008-05-02,4.09,4.09
2008-05-05,4.09,4.09
2008-05-06,4.09,4.09
2008-05-09,4.09,4.24
2008-05-12,4.09,4.09
2008-05-13,4.09,4.09
2008-05-15,4.09,4.09
2008-05-21,4.09,4.09
2008-05-26,4.09,4.09
2008-05-28,4.09,4.09
2008-05-30,4.09,4.09
2008-06-02,4.09,4.29
2008-06-04,4.09,4.09
2008-06-05,4.09,4.09
2008-06-10,4.09,4.09
2008-06-12,4.29,4.29
2008-06-16,4.29,4.29
2008-06-17,4.29,4.29
2008-06-20,4,4
2008-06-25,4,4
2008-06-27,4.2,4.2
2008-07-04,4.2,4.2
2008-07-10,4.2,4.2
2008-07-11,4.2,4.2
2008-07-21,4.2,4.2
2008-07-23,4.2,4.41
2008-07-24,4.2,4.4
2008-08-05,4.2,4.2
2008-08-12,4.41,4.41
2008-08-13,4.41,4.41
2008-08-19,4.2,4.2
2008-08-21,4.41,4.41
2008-09-04,4.41,4.41
2008-09-10,4.41,4.41
2008-09-24,4.41,4.41
2008-10-02,4.16,4.16
2008-10-16,3.9,3.9
2008-11-10,3.71,3.71
2008-12-19,3.71,3.71
2009-01-02,4.09,4.09
2009-01-08,3.71,3.71
2009-01-22,3.71,3.71
2009-02-04,4,4
2009-02-12,3.71,3.71
2009-02-27,3.71,3.71
2009-03-02,3.53,3.6
2009-03-04,3.53,3.53
2009-03-10,3.89,3.89
2009-03-12,3.89,3.75
2009-03-16,3.53,3.53
2009-04-17,3.53,3.54
2009-04-20,3.89,3.89
2009-04-23,3.53,3.53
2009-05-15,3.53,3.53
2009-05-21,3.53,3.53
2009-06-01,3.53,3.53
2009-06-08,3.53,3.53
2009-06-17,3.71,3.71
2009-08-18,3.7,3.53
2009-08-26,3.7,3.7
2009-09-15,3.7,3.7
2009-10-07,3.7,3.7
2009-10-08,3.52,3.7
2009-10-09,3.36,3.52
2009-10-15,3.21,3.36
2009-10-19,3.21,3.21
2009-10-30,3.21,3.21
2009-11-10,3.21,3.21
2009-11-11,3.21,3.21
2009-11-23,3.3,3.21
2009-11-30,3.3,3.3
2009-12-16,3.3,3.3
2009-12-23,3.3,3.3
2009-12-28,3.3,3.3
2010-01-06,3.3,3.3
2010-01-07,3.3,3.3
2010-01-08,3.3,3.3
2010-01-13,3.3,3.3
2010-01-20,3.46,3.3
2010-01-22,3.46,3.46
2010-01-25,3.46,3.46
2010-02-02,3.46,3.46
2010-02-03,3.46,3.46
2010-02-04,3.46,3.46
2010-02-16,3.46,3.46
2010-02-19,3.46,3.46
2010-02-24,3.46,3.46
2010-03-03,3.46,3.46
2010-03-04,3.46,3.46
2010-03-12,3.46,3.46
2010-03-17,3.46,3.46
2010-03-24,3.46,3.46
2010-04-09,3.46,3.46
2010-04-14,3.46,3.46
2010-04-20,3.46,3.46
2010-04-22,3.46,3.46
2010-04-27,3.46,3.46
2010-05-07,3.46,3.46
2010-05-18,3.46,3.46
2010-05-25,3.01,3.01
2010-06-07,3.01,3.01
2010-06-10,3.01,3.01
2010-06-16,3.01,3.01
2010-06-18,3.01,3.01
2010-06-24,3.01,3.01
2010-06-28,3.01,3.01
2010-07-07,3.01,3.01
2010-07-22,3.01,3.01
2010-07-28,3.01,3.01
2010-08-12,3.01,3.01
2010-08-31,3.01,3.01
2010-09-21,3.01,3.01
2010-09-24,3.01,3.01
2010-09-27,3.01,3.01
2010-09-28,3.01,3.01
2010-09-30,3.01,3.01
2010-10-04,3.01,3.01
2010-10-22,3.01,3.01
2010-10-25,3.01,3.01
2010-10-27,3.01,3.01
2010-10-28,3.01,3.01
2010-10-29,3.01,3.01
2010-11-01,3.01,3.01
2010-11-09,3.01,3.01
2010-11-12,3.01,3.01
2010-11-25,3.01,3.01
2010-11-26,3.01,3.01
2010-12-03,3.01,3.01
2010-12-14,3.01,3.01
2010-12-23,3.01,3.01
2011-01-11,3.01,3.01
2011-01-20,3.01,3.01
2011-02-08,3.01,3.01
2011-02-10,3.01,3.01
2011-02-23,3.01,3.01
2011-03-25,3.01,3.01
2011-04-18,3.01,3.01
2011-04-20,3.01,3.01
2011-05-04,3.01,3.01
2011-05-13,3.01,3.01
2011-05-17,3.01,3.01
2011-05-18,3.01,3.01
2011-05-19,3.01,3.01
2011-05-24,3.16,3.01
2011-05-26,3.16,3.16
2011-05-27,3.31,3.16
2011-05-31,3.31,3.16
2011-06-01,3.31,3.31
2011-06-02,3.47,3.31
2011-06-03,3.47,3.47
2011-06-06,3.47,3.47
2011-06-07,3.47,3.47
2011-06-20,3.47,3.47
2011-07-04,3.47,3.47
2011-07-21,3.47,3.47
2011-07-22,3.47,3.47
2011-07-25,3.47,3.47
2011-08-03,3.47,3.47
2011-08-25,3.47,3.47
2011-08-29,3.64,3.47
2011-09-02,3.64,3.64
2011-09-09,3.64,3.64
2011-09-12,3.82,3.64
2011-09-14,3.32,3.32
2011-09-15,3.48,3.32
2011-09-16,3.65,3.48
2011-09-19,3.83,3.65
2011-09-20,4.02,3.83
2011-09-22,4.22,4.02
2011-09-23,4.43,4.22
2011-09-28,4.65,4.43
2011-09-29,4.65,4.65
2011-09-30,4.65,4.65
2011-10-04,4.88,4.65
2011-10-05,4.88,4.88
2011-10-06,5.12,4.88
2011-10-10,5.37,5.12
2011-10-11,5.37,5.37
