Date,Close,Open
2003-02-17,3.42,3.42
2003-02-18,3.41,3.42
2003-02-25,3.42,3.42
2003-02-28,3.42,3.42
2003-03-04,3.42,3.42
2003-03-05,3.42,3.42
2003-03-06,3.42,3.42
2003-03-07,3.42,3.42
2003-03-10,3.42,3.42
2003-03-11,3.42,3.42
2003-03-13,3.42,3.42
2003-03-14,3.42,3.42
2003-03-17,3.42,3.42
2003-03-19,3.42,3.42
2003-03-20,3.42,3.42
2003-03-21,3.42,3.42
2003-03-24,3.42,3.42
2003-03-25,3.42,3.42
2003-03-26,3.42,3.42
2003-03-27,3.42,3.42
2003-04-01,3.42,3.42
2003-04-02,3.42,3.42
2003-04-03,3.42,3.42
2003-04-04,3.42,3.42
2003-04-07,3.42,3.42
2003-04-08,3.42,3.42
2003-04-09,3.42,3.42
2003-04-10,3.59,3.59
2003-04-11,3.59,3.59
2003-04-14,3.43,3.42
2003-04-15,3.4,3.37
2003-04-16,3.4,3.4
2003-04-17,3.3,3.3
2003-04-22,3.3,3.3
2003-04-23,3.25,3.26
2003-04-24,3.4,3.38
2003-04-25,3.23,3.23
2003-04-28,3.25,3.24
2003-04-29,3.41,3.09
2003-04-30,3.58,3.55
2003-05-02,3.5,3.54
2003-05-05,3.67,3.62
2003-05-06,3.49,3.49
2003-05-07,3.66,3.49
2003-05-08,3.66,3.66
2003-05-12,3.82,3.82
2003-05-14,3.82,3.82
2003-05-15,3.82,3.82
2003-05-19,3.82,3.82
2003-05-20,3.82,3.82
2003-05-21,3.82,3.82
2003-05-22,3.82,3.82
2003-05-23,3.82,3.82
2003-05-27,3.82,3.82
2003-05-28,3.82,3.82
2003-06-03,3.82,3.82
2003-06-05,3.63,3.63
2003-06-06,3.62,3.62
2003-06-09,3.62,3.62
2003-06-10,3.58,3.62
2003-06-11,3.62,3.62
2003-06-12,3.62,3.57
2003-06-13,3.56,3.56
2003-06-16,3.5,3.5
2003-06-17,3.67,3.64
2003-06-18,3.5,3.5
2003-06-19,3.33,3.47
2003-06-20,3.17,3.32
2003-06-23,3.17,3.17
2003-06-24,3.17,3.17
2003-06-25,3.18,3.18
2003-06-26,3.18,3.18
2003-06-27,3.18,3.18
2003-07-01,3.03,3.05
2003-07-02,2.88,2.88
2003-07-04,2.88,2.88
2003-07-08,2.88,2.88
2003-07-09,3,2.97
2003-07-10,3.15,3.11
2003-07-11,3.3,3.18
2003-07-14,3.3,3.3
2003-07-15,3.35,3.35
2003-07-16,3.5,3.35
2003-07-17,3.5,3.38
2003-07-18,3.5,3.39
2003-07-21,3.33,3.45
2003-07-23,3.33,3.33
2003-07-24,3.49,3.49
2003-07-25,3.5,3.63
2003-07-28,3.65,3.59
2003-07-29,3.65,3.65
2003-07-30,3.5,3.55
2003-07-31,3.59,3.54
2003-08-01,3.49,3.5
2003-08-04,3.4,3.4
2003-08-05,3.4,3.4
2003-08-06,3.35,3.36
2003-08-07,3.19,3.23
2003-08-08,3.19,3.19
2003-08-11,3.19,3.19
2003-08-12,3.34,3.32
2003-08-13,3.49,3.37
2003-08-14,3.5,3.5
2003-08-15,3.67,3.67
2003-08-18,3.7,3.7
2003-08-19,3.88,3.79
2003-08-20,3.69,3.88
2003-08-21,3.75,3.72
2003-08-22,3.7,3.72
2003-08-25,2.84,2.84
2003-08-26,2.95,2.95
2003-08-27,3.09,3.08
2003-08-28,2.94,2.99
2003-08-29,2.94,2.94
2003-09-01,3.08,2.99
2003-09-02,3.23,3.12
2003-09-03,3.1,3.09
2003-09-04,3,3.02
2003-09-05,3,3
2003-09-08,3,3
2003-09-09,3.15,3.14
2003-09-10,3.29,3.21
2003-09-11,3.13,3.15
2003-09-12,3.15,3.15
2003-09-15,3.16,3.16
2003-09-16,3.31,3.31
2003-09-17,3.31,3.31
2003-09-18,3.47,3.46
2003-09-19,3.47,3.47
2003-09-22,3.47,3.47
2003-09-23,3.3,3.3
2003-09-24,3.3,3.3
2003-09-25,3.14,3.3
2003-09-26,3.3,3.3
2003-09-29,3.14,3.14
2003-09-30,3.2,3.14
2003-10-02,3.25,3.22
2003-10-03,3.25,3.21
2003-10-06,3.35,3.32
2003-10-07,3.35,3.28
2003-10-08,3.32,3.34
2003-10-09,3.32,3.32
2003-10-10,3.2,3.24
2003-10-14,3.2,3.2
2003-10-15,3.2,3.2
2003-10-16,3.2,3.2
2003-10-17,3.2,3.2
2003-10-20,3.21,3.21
2003-10-22,3.37,3.36
2003-10-23,3.35,3.37
2003-10-24,3.3,3.3
2003-10-27,3.3,3.3
2003-10-28,3.3,3.3
2003-10-29,3.21,3.21
2003-10-30,3.21,3.2
2003-10-31,3.2,3.2
2003-11-03,3.35,3.34
2003-11-04,3.2,3.21
2003-11-05,3.21,3.21
2003-11-06,3.21,3.21
2003-11-10,3.06,3.14
2003-11-11,3.21,3.21
2003-11-12,3.2,3.2
2003-11-14,3.35,3.42
2003-11-17,3.48,3.47
2003-11-18,3.48,3.48
2003-11-19,3.35,3.43
2003-11-20,3.35,3.35
2003-11-21,3.35,3.35
2003-11-27,3.19,3.19
2003-11-28,3.19,3.04
2003-12-02,3.19,3.19
2003-12-03,3.15,3.14
2003-12-04,3.1,3.01
2003-12-05,3.15,3.15
2003-12-08,3.15,3.15
2003-12-09,3.2,3.2
2003-12-10,3.2,3.2
2003-12-11,3.2,3.2
2003-12-12,3.35,3.25
2003-12-15,3.3,3.31
2003-12-16,3.3,3.3
2003-12-17,3.25,3.25
2003-12-18,3.4,3.25
2003-12-19,3.25,3.26
2003-12-22,3.25,3.25
2003-12-23,3.2,3.22
2003-12-31,3.2,3.2
2004-01-05,3.25,3.34
2004-01-06,3.4,3.4
2004-01-07,3.4,3.4
2004-01-08,3.51,3.5
2004-01-09,3.51,3.51
2004-01-13,3.2,3.21
2004-01-14,3.2,3.2
2004-01-16,3.2,3.2
2004-01-19,3.2,3.2
2004-01-20,3.3,3.29
2004-01-21,3.2,3.23
2004-01-22,3.25,3.25
2004-01-23,3.25,3.25
2004-01-26,3.25,3.25
2004-01-27,3.41,3.41
2004-01-28,3.35,3.41
2004-01-29,3.41,3.41
2004-01-30,3.52,3.45
2004-02-09,3.2,3.2
2004-02-10,3.2,3.2
2004-02-11,3.3,3.25
2004-02-12,3.3,3.3
2004-02-13,3.3,3.3
2004-02-16,3.3,3.21
2004-02-17,3.46,3.31
2004-02-18,3.3,3.31
2004-02-19,3.3,3.3
2004-02-20,3.46,3.3
2004-02-23,3.63,3.63
2004-02-24,3.8,3.69
2004-02-25,3.99,3.97
2004-02-26,3.99,3.99
2004-02-27,3.99,3.99
2004-03-01,3.8,3.86
2004-03-03,3.75,3.76
2004-03-05,3.75,3.75
2004-03-08,3.75,3.75
2004-03-09,3.57,3.57
2004-03-10,3.57,3.57
2004-03-11,3.57,3.57
2004-03-12,3.57,3.57
2004-03-15,3.57,3.56
2004-03-16,3.57,3.57
2004-03-17,3.74,3.67
2004-03-18,3.75,3.83
2004-03-19,3.93,3.93
