Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,14.89,15.00,14.50,14.91,245000.00,17.00,3646774.50
2007-01-05,14.91,15.00,14.91,14.91,89571.00,19.00,1338903.62
2007-01-08,14.17,14.17,14.17,14.17,50593.00,9.00,716902.81
2007-01-09,14.13,14.13,13.50,14.00,235769.00,22.00,3300910.00
2007-01-10,14.00,14.70,14.00,14.70,126953.00,35.00,1820254.38
2007-01-11,14.70,15.43,14.70,15.43,155935.00,21.00,2355933.75
2007-01-12,15.43,16.20,14.71,14.71,123005.00,23.00,1968083.50
2007-01-15,14.72,15.40,14.72,14.95,228506.00,33.00,3420909.00
2007-01-16,14.95,15.69,14.80,15.69,70602.00,21.00,1080821.00
2007-01-17,15.00,15.69,15.00,15.15,64115.00,24.00,970947.00
2007-01-18,15.00,15.90,14.50,15.01,110083.00,22.00,1633331.62
2007-01-19,15.00,15.50,15.00,15.50,55681.00,29.00,844631.25
2007-01-22,16.27,16.27,16.10,16.27,293542.00,29.00,4771636.00
2007-01-23,17.08,17.08,17.08,17.08,177787.00,16.00,3036602.00
2007-01-24,17.93,17.93,17.93,17.93,204633.00,25.00,3669069.75
2007-01-26,18.83,19.00,17.88,17.88,323210.00,38.00,5901081.50
2007-01-26,18.83,19.00,17.88,17.88,323210.00,38.00,5901081.50
2007-01-30,16.99,18.00,16.99,16.99,158098.00,25.00,2784517.25
2007-01-31,16.99,17.25,16.20,16.22,89000.00,23.00,1484765.00
2007-02-02,17.00,17.85,17.00,17.85,49715.00,23.00,860470.69
2007-02-05,17.85,18.74,17.85,18.74,282569.00,20.00,5290173.00
2007-02-06,19.67,19.67,19.67,19.67,182494.00,24.00,3589657.00
2007-02-07,19.67,20.65,19.67,20.60,500331.00,43.00,10089321.00
2007-02-08,21.63,21.63,21.63,21.63,472826.00,37.00,10227226.00
2007-02-09,20.55,21.00,20.55,20.60,349102.00,36.00,7199782.00
2007-02-12,21.62,21.62,19.80,19.80,549746.00,41.00,11437139.00
2007-02-13,19.00,19.80,18.81,18.81,278750.00,28.00,5249497.50
2007-02-14,18.81,18.81,18.00,18.80,490970.00,42.00,8890723.00
2007-02-15,18.80,19.74,18.80,19.74,414464.00,36.00,7971036.00
2007-02-16,20.72,20.72,20.72,20.72,199047.00,19.00,4124253.75
2007-02-16,20.72,20.72,20.72,20.72,199047.00,19.00,4124253.75
2007-02-19,20.72,21.75,20.72,20.72,567126.00,56.00,12278300.00
2007-02-20,20.72,21.75,20.72,21.75,157516.00,23.00,3353728.75
2007-02-21,21.00,22.50,21.00,21.75,136754.00,33.00,2917213.50
2007-02-22,20.67,22.50,20.67,22.00,204506.00,36.00,4476220.00
2007-02-23,22.00,22.00,20.90,20.90,252402.00,21.00,5289502.00
2007-02-26,20.90,20.90,19.86,19.86,99576.00,14.00,1991022.38
2007-02-27,18.90,20.00,18.89,19.00,387945.00,55.00,7364726.00
2007-02-28,19.00,19.50,18.10,18.20,475255.00,31.00,8877465.00
2007-03-01,17.90,19.11,17.90,19.11,90590.00,32.00,1706920.38
2007-03-02,20.06,20.06,20.06,20.06,120734.00,23.00,2421924.00
2007-03-05,21.06,21.06,21.06,21.06,235345.00,28.00,4956365.50
2007-03-06,22.11,22.11,22.11,22.11,206934.00,16.00,4575310.50
2007-03-07,23.21,23.21,23.21,23.21,218800.00,26.00,5078348.00
2007-03-08,24.37,24.37,24.37,24.37,75128.00,13.00,1830869.38
