Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,1.05,1.05,1.00,1.00,2000.00,2.00,2050.00
2007-01-08,1.00,1.00,0.95,1.00,13000.00,3.00,12740.00
2007-01-09,1.00,1.00,1.00,1.00,7300.00,1.00,7300.00
2007-01-10,1.00,1.00,0.95,0.95,52000.00,2.00,49500.00
2007-01-16,0.95,0.95,0.95,0.95,219200.00,6.00,208240.00
2007-01-17,0.95,0.95,0.95,0.95,500.00,1.00,475.00
2007-01-18,0.91,0.91,0.91,0.91,19500.00,1.00,17745.00
2007-01-22,0.87,0.87,0.87,0.87,100000.00,1.00,87000.00
2007-01-23,0.91,0.91,0.85,0.91,28000.00,4.00,24560.00
2007-01-24,0.91,0.91,0.91,0.91,5000.00,2.00,4550.00
2007-01-26,0.95,0.95,0.91,0.91,1003000.00,3.00,912850.00
2007-01-26,0.95,0.95,0.91,0.91,1003000.00,3.00,912850.00
2007-01-30,0.91,0.91,0.91,0.91,21000.00,1.00,19110.00
2007-01-31,0.91,0.91,0.87,0.87,25000.00,5.00,22550.00
2007-02-02,0.91,0.91,0.91,0.91,233350.00,4.00,212348.50
2007-02-07,0.95,0.95,0.95,0.95,166935.00,4.00,158588.25
2007-02-09,0.91,0.91,0.91,0.91,21000.00,2.00,19110.00
2007-02-12,0.87,0.87,0.87,0.87,131500.00,5.00,114405.00
2007-02-13,0.87,0.87,0.83,0.87,2072531.00,7.00,1801217.00
2007-02-14,0.91,0.91,0.91,0.91,4256295.00,12.00,3873228.50
2007-02-15,0.91,0.91,0.91,0.91,5.00,1.00,4.55
2007-02-16,0.95,0.95,0.95,0.95,850000.00,3.00,807500.00
2007-02-16,0.95,0.95,0.95,0.95,850000.00,3.00,807500.00
2007-02-19,0.99,0.99,0.99,0.99,350000.00,1.00,346500.00
2007-02-21,1.03,1.03,1.03,1.03,420100.00,6.00,432703.00
2007-02-22,1.08,1.08,1.08,1.08,15000.00,1.00,16200.00
2007-02-23,1.13,1.13,1.13,1.13,251000.00,2.00,283630.00
2007-02-26,1.18,1.18,1.18,1.18,15000.00,1.00,17700.00
2007-02-27,1.23,1.23,1.23,1.23,450000.00,5.00,553500.00
2007-02-28,1.23,1.23,1.23,1.23,5000.00,1.00,6150.00
2007-03-01,1.29,1.29,1.29,1.29,100000.00,1.00,129000.00
2007-03-02,1.35,1.35,1.35,1.35,1511500.00,6.00,2040525.00
2007-03-05,1.41,1.41,1.41,1.41,4500000.00,15.00,6345000.00
2007-03-06,1.48,1.48,1.48,1.48,100000.00,1.00,148000.00
2007-03-07,1.55,1.55,1.55,1.55,1550000.00,10.00,2402500.00
2007-03-08,1.55,1.55,1.55,1.55,10000.00,1.00,15500.00
2007-03-09,1.62,1.62,1.62,1.62,50000.00,1.00,81000.00
2007-03-12,1.70,1.70,1.70,1.70,625000.00,3.00,1062500.00
2007-03-13,1.78,1.78,1.78,1.78,650000.00,1.00,1157000.00
2007-03-14,1.86,1.86,1.86,1.86,400000.00,6.00,744000.00
2007-03-15,1.95,1.95,1.95,1.95,1834999.00,3.00,3578248.00
2007-03-16,2.04,2.04,2.04,2.04,1076684.00,3.00,2196435.25
2007-03-19,2.14,2.14,2.14,2.14,15000.00,1.00,32100.00
2007-03-20,2.24,2.24,2.24,2.24,20500.00,2.00,45920.00
2007-03-21,2.35,2.35,2.13,2.13,5758359.00,78.00,13215153.00
2007-03-22,2.03,2.03,2.03,2.03,458958.00,24.00,931684.75
2007-03-23,1.93,1.95,1.93,1.93,1593000.00,37.00,3078290.00
2007-03-26,1.93,1.93,1.84,1.84,1006900.00,24.00,1867178.75
2007-03-27,1.75,1.93,1.75,1.92,617416.00,17.00,1153584.75
2007-03-28,2.01,2.01,1.83,1.83,3059170.00,46.00,5902318.00
2007-03-29,1.92,1.92,1.74,1.74,1517233.00,35.00,2843515.25
2007-03-30,1.82,1.82,1.75,1.82,2605000.00,28.00,4654129.50
2007-04-03,1.91,1.91,1.74,1.91,785475.00,21.00,1470487.25
2007-04-04,1.92,1.99,1.82,1.91,1250448.00,24.00,2364052.50
2007-04-05,2.00,2.00,1.85,2.00,1373716.00,26.00,2691624.75
2007-04-06,3.90,3.90,3.55,3.90,12197816.00,81.00,46508416.00
2007-04-10,2.10,2.10,2.00,2.00,1678133.00,29.00,3509961.00
2007-04-11,2.00,2.10,2.00,2.05,1687320.00,28.00,3500721.75
2007-04-16,2.10,2.15,2.10,2.15,904843.00,25.00,1935061.88
2007-04-17,2.15,2.25,2.05,2.25,813894.00,17.00,1718206.62
2007-04-18,2.25,2.36,2.25,2.36,1533005.00,27.00,3549763.75
2007-04-19,2.47,2.47,2.47,2.47,1270000.00,15.00,3136900.00
2007-04-23,2.59,2.59,2.50,2.59,2202256.00,52.00,5703573.00
2007-04-24,2.71,2.71,2.71,2.71,80000.00,2.00,216800.00
2007-04-25,2.84,2.84,2.84,2.84,2115164.00,15.00,6007066.00
2007-04-26,2.98,2.98,2.98,2.98,5531300.00,44.00,16483274.00
2007-04-27,3.12,3.12,2.98,3.12,6612880.00,75.00,20465478.00
2007-04-30,3.24,3.26,3.00,3.14,1179950.00,40.00,3743967.50
2007-05-02,3.29,3.29,3.29,3.29,6207888.00,46.00,20423952.00
2007-05-03,3.29,3.45,3.13,3.30,1504123.00,53.00,4978355.50
2007-05-04,3.46,3.46,3.14,3.46,11460231.00,80.00,37094188.00
2007-05-07,3.63,3.63,3.29,3.29,316200.00,11.00,1136446.00
2007-05-08,3.13,3.13,3.13,3.13,1021416.00,26.00,3197032.00
2007-05-09,3.12,3.12,2.98,3.08,966895.00,28.00,2922276.50
2007-05-10,2.93,3.00,2.93,2.93,1220942.00,23.00,3592760.00
2007-05-11,2.80,2.96,2.79,2.96,9576025.00,49.00,26871262.00
2007-05-14,3.08,3.08,2.82,2.89,1811105.00,16.00,5443365.00
