Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,7.16,7.16,6.81,6.81,3000.00,2.00,21130.00
2007-01-09,6.47,6.47,6.47,6.47,83458.00,2.00,539973.25
2007-01-10,6.15,6.15,6.15,6.15,185031.00,1.00,1137940.62
2007-01-12,6.15,6.15,5.85,5.85,30005.00,4.00,177029.25
2007-01-15,5.84,5.85,5.84,5.85,37000.00,6.00,216300.00
2007-01-16,5.56,5.56,5.56,5.56,1019430.00,7.00,5668031.00
2007-01-17,5.29,5.56,5.29,5.56,11000.00,2.00,58460.00
2007-01-18,5.29,5.29,5.29,5.29,15000.00,2.00,79350.00
2007-01-19,5.03,5.03,5.03,5.03,60901.00,5.00,306332.03
2007-01-22,4.78,4.78,4.78,4.78,197300.00,4.00,943094.00
2007-01-23,4.55,4.55,4.55,4.55,101000.00,2.00,459550.00
2007-01-24,4.33,4.33,4.33,4.33,115590.00,14.00,500504.69
2007-01-26,3.92,3.92,3.92,3.92,35502.00,10.00,139167.84
2007-01-26,3.92,3.92,3.92,3.92,35502.00,10.00,139167.84
2007-01-30,3.73,4.00,3.73,4.00,1672125.00,13.00,6240077.00
2007-01-31,3.80,3.95,3.80,3.80,731811.00,29.00,2791220.50
2007-02-02,3.80,3.99,3.75,3.99,4589143.00,48.00,17952242.00
2007-02-05,4.18,4.18,4.18,4.18,6515000.00,22.00,27232700.00
2007-02-06,4.38,4.38,4.38,4.38,23350710.00,45.00,102276112.00
2007-02-07,4.59,4.59,4.59,4.59,9100808.00,65.00,41772708.00
2007-02-08,4.81,4.81,4.81,4.81,5780640.00,72.00,27804878.00
2007-02-09,5.05,5.05,4.57,5.00,6376800.00,88.00,29997764.00
2007-02-12,5.00,5.15,4.90,4.99,2349637.00,72.00,11737792.00
2007-02-13,4.92,5.05,4.90,4.99,1985822.00,52.00,9784083.00
2007-02-14,5.22,5.22,4.77,4.77,6143102.00,88.00,30953136.00
2007-02-15,5.00,5.00,4.86,5.00,2575174.00,76.00,12838698.00
2007-02-16,5.20,5.25,5.00,5.10,2181425.00,61.00,11284125.00
2007-02-16,5.20,5.25,5.00,5.10,2181425.00,61.00,11284125.00
2007-02-19,5.35,5.35,4.91,5.35,1784505.00,64.00,9226287.00
2007-02-20,5.59,5.59,5.25,5.59,3558800.00,45.00,19101144.00
2008-08-11,5.59,5.59,5.59,5.59,-1919536640.00,59.00,13278657536.00
2008-08-12,5.59,5.59,5.59,5.59,240397008.00,63.00,1343819264.00
2008-08-14,5.59,5.59,5.59,5.59,753655808.00,98.00,4212935936.00
2008-08-15,5.59,5.59,5.59,5.59,3307161.00,73.00,18487030.00
2008-08-18,5.59,5.59,5.59,5.59,3636479.00,83.00,20327918.00
2008-08-19,5.59,5.59,5.59,5.59,681229952.00,74.00,3808075520.00
2008-08-20,5.59,5.59,5.59,5.59,164777936.00,88.00,921108672.00
2008-08-21,5.59,5.59,5.59,5.59,20975808.00,88.00,117254776.00
2008-08-22,5.59,5.59,5.59,5.59,17386744.00,86.00,97191904.00
2008-08-25,5.59,5.59,5.59,5.59,66692944.00,48.00,372813536.00
2008-08-26,5.59,5.59,5.59,5.59,2103879.00,63.00,11760684.00
2008-08-27,5.59,5.59,5.59,5.59,13162243.00,101.00,73576936.00
2008-08-28,5.59,5.59,5.59,5.59,13719362.00,68.00,76691232.00
2008-08-29,5.59,5.59,5.59,5.59,55227580.00,52.00,308722176.00
2008-09-01,5.59,5.59,5.59,5.59,11046908.00,72.00,61752216.00
2008-09-02,5.59,5.59,5.59,5.59,11831740.00,46.00,66139428.00
2008-09-03,5.59,5.59,5.59,5.59,10846886.00,73.00,60634092.00
2008-09-04,5.59,5.59,5.59,5.59,50915992.00,103.00,284620416.00
2008-09-05,5.59,5.59,5.59,5.59,33909688.00,46.00,189555152.00
2008-09-08,5.59,5.59,5.59,5.59,105411336.00,66.00,589249344.00
2008-09-09,5.59,5.59,5.59,5.59,7369955.00,56.00,41198048.00
2008-09-10,5.59,5.59,5.59,5.59,36506948.00,94.00,204073840.00
2008-09-11,5.59,5.59,5.59,5.59,4460543.00,64.00,24934436.00
2008-09-12,5.59,5.59,5.59,5.59,8553589.00,53.00,47814564.00
2008-09-15,5.59,5.59,5.59,5.59,3002481.00,55.00,16783868.00
2008-09-16,5.59,5.59,5.59,5.59,7802581.00,52.00,43616428.00
