Date,Open,High,Low,Close,Volume,Trades,Value
2012-11-29,12.38,12.38,12.38,12.38,178981.00,14.00,2215784.75
2012-11-30,11.77,11.77,11.77,11.77,290184.00,18.00,3415465.75
2012-12-03,11.19,11.19,11.19,11.19,175438.00,12.00,1963151.25
2012-12-04,10.64,10.64,10.64,10.64,428402.00,48.00,4558397.50
2012-12-05,10.64,10.64,10.64,10.64,103440.00,34.00,1100404.25
2012-12-06,10.64,10.64,10.64,10.64,183605.00,29.00,1997862.50
2012-12-10,11.00,11.00,11.00,11.00,159350.00,20.00,1748541.25
2012-12-11,11.00,11.00,11.00,11.00,111665.00,20.00,1222089.25
2012-12-12,10.80,10.81,10.80,10.81,545108.00,25.00,5898194.50
2012-12-13,11.00,11.00,10.80,10.80,375307.00,24.00,4079181.00
2012-12-14,11.00,11.00,10.90,10.92,611967.00,25.00,6687923.50
2012-12-17,11.32,11.32,10.89,10.89,815046.00,37.00,8960887.00
2012-12-18,11.01,11.01,11.01,11.01,713923.00,27.00,7860288.00
2012-12-19,11.01,11.01,11.01,11.01,135081.00,19.00,1488763.38
2012-12-20,11.02,11.02,11.00,11.01,740514.00,25.00,8154101.50
2012-12-21,11.00,11.00,11.00,11.00,206804.00,10.00,2274845.00
2012-12-24,11.00,11.00,11.00,11.00,68103.00,13.00,750014.19
2012-12-28,11.00,11.10,11.00,11.03,2356756.00,28.00,26022686.00
2012-12-31,11.00,11.00,11.00,11.00,1115763.00,14.00,12273345.00
2013-01-02,11.01,11.01,10.90,11.00,7361605.00,60.00,80562952.00
2013-01-03,11.00,11.00,11.00,11.00,577387.00,26.00,6352149.00
2013-01-04,11.00,11.00,11.00,11.00,76268.00,9.00,842615.00
2013-01-07,11.44,11.54,11.44,11.54,656834.00,28.00,7520920.00
2013-01-08,11.54,11.54,11.54,11.54,137170.00,21.00,1579493.50
2013-01-09,11.20,11.21,11.20,11.21,243053.00,20.00,2731728.00
2013-01-10,11.50,11.50,11.50,11.50,2143127.00,38.00,24689846.00
2013-01-16,12.00,12.28,12.00,12.28,20833244.00,38.00,250237728.00
2013-01-17,12.50,12.50,12.50,12.50,215505.00,23.00,2734101.50
2013-01-18,12.51,12.51,12.51,12.51,205984.00,26.00,2577529.25
2013-01-21,12.02,12.02,12.02,12.02,121452.00,17.00,1473652.88
2013-01-22,12.05,12.25,12.05,12.11,1826020.00,31.00,22255582.00
2013-01-23,12.25,12.40,12.25,12.40,1431961.00,18.00,17593992.00
2013-01-25,12.40,12.40,12.40,12.40,51109.00,18.00,624748.12
2013-01-28,12.40,12.50,12.40,12.50,359910.00,27.00,4510117.00
2013-01-29,12.55,12.95,12.55,12.95,2269716.00,30.00,28695338.00
2013-01-30,12.95,13.40,12.60,13.00,10431976.00,85.00,132828152.00
2013-01-31,13.02,13.14,13.02,13.11,4157579.00,72.00,54385560.00
2013-02-01,13.70,13.70,13.70,13.70,163124.00,50.00,2229126.75
2013-02-04,14.38,14.38,14.38,14.38,2474058.00,56.00,35573696.00
2013-02-05,14.38,15.09,14.38,15.09,1681331.00,44.00,24657278.00
2013-02-06,15.10,15.69,15.01,15.69,1462907.00,50.00,22192308.00
2013-02-07,15.75,15.78,15.70,15.77,1202407.00,43.00,18937316.00
2013-02-08,15.68,15.77,15.68,15.75,1810046.00,32.00,28492652.00
2013-02-12,15.99,16.00,15.98,16.00,811570.00,39.00,12933579.00
2013-02-13,15.72,15.72,15.72,15.72,201017.00,26.00,3166678.75
2013-02-14,15.95,15.95,15.00,15.70,1111521.00,40.00,17044416.00
2013-02-15,15.03,15.03,15.00,15.00,656744.00,25.00,9856111.00
2013-02-18,15.60,15.60,15.00,15.00,746607.00,29.00,11298983.00
2013-02-19,15.00,15.00,14.28,14.28,871205.00,32.00,12829834.00
2013-02-25,13.05,13.05,13.00,13.00,410949.00,25.00,5355475.50
2013-02-26,13.34,13.34,13.00,13.00,29742460.00,28.00,386736864.00
2013-02-27,13.00,13.04,13.00,13.00,12115712.00,34.00,157515632.00
2013-02-28,13.02,13.03,13.00,13.01,10868542.00,26.00,141310944.00
2013-03-01,13.00,13.02,13.00,13.00,2743188.00,23.00,35662384.00
