Date,Open,High,Low,Close,Volume,Trades,Value
2008-07-14,14.33,14.33,14.33,14.33,135467984.00,660.00,1941256320.00
2008-07-15,15.04,15.04,14.62,14.90,21408226.00,252.00,321883040.00
2008-07-16,15.49,15.64,14.16,14.30,39292760.00,434.00,569057920.00
2008-07-17,14.90,14.90,14.20,14.50,4939273.00,221.00,71450192.00
2008-07-18,14.80,14.80,14.00,14.57,6198634.00,270.00,89426728.00
2008-07-21,14.99,14.99,14.50,14.55,3519113.00,187.00,51242596.00
2008-07-22,14.55,14.55,13.83,13.83,6384801.00,200.00,91464296.00
2008-07-23,13.83,13.83,13.14,13.14,10414761.00,187.00,136927088.00
2008-07-24,12.49,12.99,12.49,12.51,3094444.00,180.00,38731076.00
2008-07-25,12.90,13.13,12.51,13.00,10612220.00,112.00,133990952.00
2008-07-28,13.63,13.63,12.80,12.87,20379004.00,340.00,264310688.00
2008-07-29,13.00,13.50,12.88,13.10,7749383.00,209.00,102063904.00
2008-07-30,13.70,13.70,13.01,13.44,6655714.00,158.00,87252168.00
2008-07-31,13.47,13.70,13.00,13.11,12272493.00,196.00,162039168.00
2008-08-01,13.69,13.76,13.35,13.35,6350606.00,203.00,86121088.00
2008-08-04,13.50,13.50,12.69,12.69,6834698.00,174.00,88704504.00
2008-08-05,13.30,13.30,12.06,12.75,63658208.00,264.00,818781056.00
2008-08-06,12.99,12.99,12.30,12.55,2035207.00,129.00,25632074.00
2008-08-07,12.99,12.99,12.00,12.06,13972909.00,175.00,169999504.00
2008-08-08,12.50,12.51,12.00,12.00,3092880.00,97.00,37626144.00
2008-08-11,12.55,12.55,11.97,12.20,2196958.00,103.00,26542242.00
2008-08-12,12.00,12.00,11.59,11.99,2432990.00,120.00,28726982.00
2008-08-14,11.80,11.80,11.21,11.21,6229851.00,190.00,71784552.00
2008-08-15,10.65,11.00,10.65,10.65,29743564.00,176.00,317118656.00
2008-08-18,10.15,10.15,10.12,10.12,13024217.00,66.00,131805872.00
