Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-04,4.00,4.00,4.00,4.00,10100.00,2.00,40400.00
2007-01-05,3.80,4.00,3.80,4.00,19060.00,2.00,73948.00
2007-01-09,4.00,4.00,4.00,4.00,7000.00,1.00,28000.00
2007-01-10,3.80,3.80,3.80,3.80,31500.00,3.00,119700.00
2007-01-11,3.61,3.99,3.61,3.62,1344741.00,10.00,4868652.00
2007-01-12,3.52,3.52,3.46,3.46,766000.00,12.00,2690520.00
2007-01-15,3.29,3.29,3.29,3.29,248000.00,7.00,815920.00
2007-01-16,3.28,3.28,3.13,3.13,3380000.00,15.00,10730400.00
2007-01-17,3.13,3.13,3.00,3.00,933750.00,26.00,2816161.00
2007-01-18,3.00,3.15,2.99,3.15,1394783.00,22.00,4255633.50
2007-01-19,3.19,3.21,3.02,3.15,2590283.00,29.00,8205832.00
2007-01-22,3.15,3.24,3.05,3.20,3933500.00,33.00,12235514.00
2007-01-23,3.20,3.30,3.20,3.25,4627860.00,20.00,15086748.00
2007-01-24,3.36,3.39,3.35,3.38,1500704.00,30.00,5060702.50
2007-01-26,3.30,3.32,3.20,3.30,3540850.00,29.00,11681072.00
2007-01-30,3.21,3.21,3.14,3.20,1343500.00,34.00,4245715.00
2007-01-31,3.30,3.35,3.20,3.35,1285000.00,30.00,4156604.00
2007-02-02,3.45,3.51,3.45,3.51,5747400.00,62.00,20149874.00
2007-02-05,3.68,3.68,3.68,3.68,2765849.00,13.00,10178324.00
2007-02-06,3.86,3.86,3.86,3.86,1566497.00,4.00,6046678.50
2007-02-07,4.05,4.05,4.05,4.05,8527392.00,17.00,34535936.00
2007-02-08,4.25,4.25,4.25,4.25,25033098.00,121.00,106390664.00
2007-02-09,4.42,4.42,4.04,4.29,8042136.00,114.00,33598228.00
2007-02-12,4.50,4.50,4.33,4.49,17218742.00,128.00,77341792.00
2007-02-13,4.55,4.70,4.33,4.50,5680286.00,86.00,25540806.00
2007-02-14,4.50,4.60,4.32,4.50,5481896.00,80.00,24442058.00
2007-02-15,4.59,4.72,4.59,4.72,2190457.00,87.00,10245532.00
2007-02-16,4.95,4.95,4.95,4.95,4541925.00,36.00,22482528.00
2007-02-19,5.18,5.19,5.18,5.19,685667.00,32.00,3557599.00
2007-02-20,5.44,5.44,5.25,5.40,4637038.00,87.00,24769294.00
2007-02-21,5.66,5.66,5.33,5.34,3174624.00,73.00,17452350.00
2007-02-22,5.34,5.34,5.08,5.08,8024937.00,78.00,40996400.00
2007-02-23,4.83,5.00,4.83,4.83,3689261.00,63.00,17820288.00
2007-02-26,4.83,4.83,4.59,4.59,3087576.00,49.00,14272936.00
2007-02-27,4.59,4.59,4.37,4.37,1216766.00,38.00,5331633.50
2007-02-28,4.45,4.45,4.16,4.16,4008722.00,51.00,16908032.00
2007-03-01,4.00,4.16,3.96,3.97,1381217.00,35.00,5515512.00
2007-03-02,3.79,4.16,3.78,4.08,2352557.00,47.00,9390115.00
2007-03-05,4.10,4.28,4.10,4.27,1576650.00,40.00,6675059.00
2007-03-06,4.42,4.48,4.10,4.10,3983543.00,66.00,17432568.00
2007-03-07,4.25,4.30,4.20,4.30,2051917.00,17.00,8796750.00
2007-03-08,4.49,4.50,4.35,4.49,1376045.00,53.00,6135953.50
2007-03-09,4.49,4.71,4.40,4.71,3165328.00,73.00,14398503.00
2007-03-12,4.71,4.85,4.70,4.82,843251.00,31.00,4023343.75
2007-03-13,4.82,4.95,4.82,4.95,4141451.00,64.00,20224622.00
2007-03-14,5.10,5.12,4.71,4.94,7778543.00,76.00,37143888.00
2007-03-15,4.96,4.96,4.70,4.70,699976.00,42.00,3397799.50
2007-03-16,4.80,4.80,4.47,4.50,1697116.00,41.00,7605622.00
2007-03-19,4.51,4.51,4.28,4.28,463450.00,27.00,2019219.00
2007-03-20,4.27,4.27,4.07,4.07,8736178.00,78.00,35790784.00
2007-03-21,4.27,4.27,4.01,4.25,34370944.00,79.00,146140640.00
2007-03-22,4.38,4.38,4.04,4.05,12178800.00,117.00,50439264.00
2007-03-23,4.05,4.05,3.85,4.05,17023078.00,90.00,66583772.00
2007-03-26,4.16,4.16,3.85,3.85,5513374.00,84.00,21484842.00
2007-03-27,3.87,4.04,3.66,4.00,12823223.00,121.00,49472832.00
2007-03-28,4.04,4.16,3.99,4.16,21862220.00,167.00,87733072.00
2007-03-29,4.16,4.26,4.16,4.23,3695050.00,92.00,15502780.00
2007-03-30,4.26,4.28,4.10,4.26,1819335.00,87.00,7712835.50
2007-04-03,4.30,4.47,4.30,4.47,6338600.00,106.00,28131022.00
2007-04-04,4.69,4.69,4.69,4.69,11762948.00,35.00,55168228.00
2007-04-05,4.92,4.92,4.92,4.92,2238124.00,31.00,11011570.00
2007-04-06,9.33,9.33,9.33,9.33,24329300.00,118.00,226992368.00
2007-04-10,5.16,5.16,5.16,5.16,8591679.00,27.00,44333064.00
2007-04-11,5.41,5.41,5.00,5.41,39311120.00,272.00,211713296.00
2007-04-16,5.68,5.68,5.45,5.68,11250026.00,166.00,63458916.00
2007-04-17,5.96,5.96,5.40,5.40,20780692.00,151.00,120654072.00
2007-04-18,5.40,5.67,5.22,5.67,21130102.00,263.00,116410312.00
2007-04-19,5.95,5.95,5.78,5.95,35035168.00,196.00,208147040.00
2007-04-23,6.15,6.24,5.66,5.68,20893920.00,213.00,126848992.00
2007-04-24,5.47,5.64,5.47,5.60,21409372.00,216.00,118618720.00
2007-04-25,5.62,5.88,5.61,5.88,7210978.00,112.00,42119920.00
2007-04-26,6.01,6.09,5.61,5.99,14683713.00,232.00,85889272.00
2007-04-27,6.28,6.28,5.76,5.90,10418877.00,211.00,64297328.00
2007-04-30,6.00,6.05,5.63,5.89,23812512.00,155.00,138319728.00
2007-05-02,6.00,6.09,5.81,5.99,24084348.00,236.00,143878928.00
2007-05-03,5.92,5.99,5.71,5.71,9889063.00,269.00,57952524.00
2007-05-04,5.98,5.99,5.65,5.82,20083416.00,253.00,118748768.00
2007-05-07,5.99,6.11,5.99,6.10,30038442.00,92.00,182904688.00
2007-05-08,6.11,6.39,5.80,6.36,35622260.00,343.00,216385376.00
2007-05-09,6.50,6.65,6.05,6.05,7097235.00,197.00,44491204.00
2007-05-10,6.19,6.19,5.90,6.00,8506630.00,236.00,51486952.00
2007-05-11,6.03,6.20,6.03,6.19,7394507.00,171.00,45585152.00
2007-05-14,6.20,6.20,5.91,6.15,6254906.00,168.00,38077028.00
2007-05-15,6.15,6.15,5.88,6.00,6670348.00,139.00,40042884.00
2007-05-16,6.23,6.23,5.74,6.14,8383542.00,162.00,50808044.00
2007-05-18,6.10,6.10,5.85,5.90,8302039.00,158.00,49892268.00
2007-05-21,6.19,6.19,6.00,6.05,13970037.00,219.00,85614336.00
2007-05-23,6.66,6.66,6.45,6.66,51780592.00,248.00,343126368.00
2007-05-24,6.99,6.99,6.63,6.99,37355456.00,312.00,260680944.00
2007-05-25,7.33,7.33,7.33,7.33,20555272.00,204.00,150670144.00
2007-05-28,7.69,7.69,7.60,7.69,11294924.00,210.00,86780552.00
2007-05-30,8.07,8.07,7.95,8.07,29020104.00,456.00,233939328.00
2007-05-31,8.47,8.47,8.47,8.47,13775812.00,281.00,116681128.00
2007-06-01,8.89,8.89,8.89,8.89,12374082.00,203.00,110005592.00
2007-06-05,9.79,9.79,9.79,9.79,15974081.00,110.00,156386256.00
2007-06-06,10.27,10.27,9.79,10.10,56423676.00,739.00,574373184.00
2007-06-07,10.00,10.00,9.60,9.60,21894652.00,405.00,211028608.00
2007-06-08,9.98,9.98,9.12,9.12,10022819.00,351.00,92501432.00
2007-06-11,8.67,9.57,8.67,9.57,74891520.00,534.00,674098048.00
2007-06-12,9.59,9.99,9.10,9.79,51430720.00,406.00,481309088.00
2007-06-13,9.98,9.98,9.31,9.31,20199624.00,249.00,188951952.00
2007-06-14,9.32,9.32,8.85,8.85,22284392.00,276.00,199916784.00
2007-06-15,8.51,8.51,8.41,8.41,34278628.00,161.00,289358624.00
2007-06-18,8.40,8.40,7.99,7.99,14770212.00,288.00,118448960.00
2007-06-19,7.99,7.99,7.60,7.60,14627506.00,208.00,111699576.00
2007-06-20,7.50,7.98,7.24,7.95,7249779.00,166.00,54260988.00
2007-06-21,8.00,8.34,8.00,8.34,10702346.00,234.00,89063232.00
2007-06-22,8.75,8.75,8.75,8.75,7690984.00,184.00,67296112.00
