Date,Open,High,Low,Close,Volume,Trades,Value
2008-06-23,3.67,3.67,3.67,3.67,147140192.00,331.00,540004544.00
2008-06-24,3.85,3.85,3.84,3.85,2154448.00,43.00,8292505.00
2008-06-25,4.04,4.04,3.70,3.99,10740845.00,143.00,42280652.00
2008-06-26,3.99,3.99,3.80,3.94,14836138.00,154.00,57229532.00
2008-06-27,3.98,3.98,3.75,3.75,2183481.00,111.00,8425334.00
2008-06-30,3.74,3.85,3.57,3.70,9155199.00,114.00,33641212.00
2008-07-01,3.88,3.88,3.52,3.52,5454112.00,172.00,20173312.00
2008-07-02,3.35,3.48,3.35,3.35,8704565.00,209.00,29235574.00
2008-07-03,3.36,3.37,3.19,3.25,9642733.00,226.00,31691022.00
2008-07-04,3.40,3.41,3.32,3.41,6755099.00,121.00,23013798.00
2008-07-07,3.58,3.58,3.58,3.58,1356500.00,38.00,4856270.00
2008-07-08,3.75,3.75,3.70,3.70,9311296.00,287.00,34906824.00
2008-07-09,3.75,3.75,3.52,3.52,9594222.00,282.00,35167904.00
2008-07-10,3.65,3.65,3.47,3.50,4798471.00,221.00,16923214.00
2008-07-11,3.50,3.65,3.33,3.50,4928008.00,213.00,17215228.00
2008-07-14,3.63,3.63,3.33,3.33,4312047.00,133.00,14759994.00
2008-07-15,3.45,3.49,3.17,3.30,5571555.00,129.00,18311050.00
2008-07-16,3.30,3.40,3.14,3.14,7398950.00,232.00,23711256.00
2008-07-17,3.14,3.25,3.00,3.11,2020550.00,146.00,6312676.00
2008-07-18,3.19,3.19,2.96,2.96,2459927.00,132.00,7320002.50
2008-07-21,2.96,2.96,2.82,2.85,3438294.00,160.00,9961746.00
2008-07-22,2.90,2.90,2.71,2.85,4541324.00,169.00,12781828.00
2008-07-23,2.85,2.85,2.71,2.71,3026059.00,157.00,8307960.00
2008-07-24,2.84,2.84,2.58,2.60,5620072.00,197.00,15049757.00
2008-07-25,2.66,2.73,2.65,2.73,1225335.00,78.00,3330666.25
2008-07-28,2.85,2.86,2.85,2.86,2006700.00,52.00,5719162.00
2008-07-29,3.00,3.00,3.00,2.86,20300.00,4.00,60900.00
2008-07-30,3.00,3.00,3.00,3.00,200000.00,5.00,600000.00
2008-07-31,3.15,3.15,3.15,3.15,802500.00,8.00,2527875.00
2008-08-01,3.30,3.30,3.30,3.30,835315.00,7.00,2756539.50
2008-08-04,3.46,3.46,3.46,3.46,2061685.00,11.00,7133430.00
2008-08-05,3.63,3.63,3.29,3.30,7766686.00,427.00,26857386.00
2008-08-06,3.39,3.39,3.14,3.14,2963054.00,197.00,9626849.00
2008-08-07,3.18,3.23,2.99,2.99,3265701.00,165.00,10151417.00
2008-08-08,3.11,3.13,3.01,3.07,1418523.00,107.00,4375753.50
2008-08-11,3.07,3.10,2.99,2.99,1997990.00,120.00,6081596.00
2008-08-12,3.00,3.13,2.85,3.05,3790141.00,151.00,11473176.00
2008-08-14,3.25,3.28,3.03,3.04,2615552.00,142.00,8258875.50
2008-08-15,3.19,3.19,2.89,2.90,1330961.00,99.00,3899816.00
2008-08-18,2.80,3.04,2.76,2.78,2458807.00,97.00,7159584.00
2008-08-19,2.65,2.78,2.65,2.65,1344891.00,81.00,3587734.00
2008-08-20,2.78,2.78,2.52,2.64,2880687.00,120.00,7511481.50
2008-08-21,2.51,2.70,2.51,2.51,3333945.00,69.00,8389919.00
2008-08-22,2.44,2.63,2.43,2.63,7834203.00,116.00,20511942.00
2008-08-25,2.63,2.76,2.63,2.76,779336.00,56.00,2145507.25
2008-08-26,2.77,2.77,2.63,2.63,1873646.00,112.00,5060590.00
2008-08-27,2.76,2.76,2.76,2.76,1131552.00,9.00,3123083.50
2008-08-28,2.89,2.89,2.89,2.89,6055925.00,48.00,17501624.00
2008-08-29,3.03,3.03,3.03,3.03,1113400.00,6.00,3373602.00
2008-09-01,3.18,3.18,3.11,3.18,4512405.00,227.00,14343468.00
2008-09-02,3.33,3.33,3.15,3.15,3865732.00,198.00,12360024.00
2008-09-03,3.15,3.15,3.12,3.12,3935622.00,161.00,12299564.00
2008-09-04,3.09,3.09,3.09,3.09,2712456.00,106.00,8381489.00
2008-09-05,3.06,3.06,3.06,3.06,1370289.00,97.00,4193084.25
2008-09-08,3.03,3.03,3.03,3.03,701105.00,44.00,2124348.25
2008-09-09,3.00,3.00,3.00,3.00,1266595.00,97.00,3799785.00
2008-09-10,2.97,2.97,2.97,2.97,686476.00,64.00,2038833.75
2008-09-11,2.95,2.95,2.95,2.95,980742.00,75.00,2893189.00
2008-09-12,2.95,2.95,2.93,2.93,805016.00,50.00,2362057.00
2008-09-15,2.91,2.91,2.91,2.91,1395251.00,94.00,4060180.50
2008-09-16,2.89,2.89,2.89,2.89,1120489.00,70.00,3238213.25
2008-09-17,2.87,2.87,2.87,2.87,545137.00,82.00,1564543.25
2008-09-18,2.85,2.85,2.85,2.85,619357.00,83.00,1765167.50
2008-09-19,2.83,2.83,2.83,2.83,1323979.00,61.00,3746860.50
2008-09-22,2.81,2.81,2.81,2.81,524242.00,59.00,1473120.00
2008-09-23,2.79,2.79,2.79,2.79,1436114.00,45.00,4006758.00
2008-09-24,2.77,2.77,2.77,2.77,432636.00,37.00,1198401.75
2008-09-25,2.75,2.75,2.75,2.75,548326.00,50.00,1507896.50
2008-09-26,2.73,2.73,2.73,2.73,1009385.00,38.00,2755621.00
2008-10-15,2.53,2.53,2.53,2.53,295227.00,25.00,746924.31
2008-10-16,2.51,2.51,2.51,2.51,534175.00,19.00,1340779.25
2008-10-20,2.47,2.47,2.47,2.47,101029.00,14.00,249541.62
2008-10-21,2.45,2.45,2.45,2.47,23720.00,4.00,58114.00
2008-10-22,2.45,2.45,2.45,2.45,182228.00,22.00,446458.59
2008-10-23,2.43,2.43,2.43,2.43,301396.00,19.00,732392.25
2008-10-24,2.41,2.41,2.41,2.41,123744.00,10.00,298223.03
2008-10-27,2.39,2.39,2.39,2.39,138941.00,9.00,332069.00
2008-10-28,2.28,2.28,2.28,2.39,43723.00,12.00,99688.44
2008-10-29,2.28,2.28,2.28,2.28,369500.00,12.00,842460.00
2008-10-30,2.17,2.17,2.17,2.17,289555.00,18.00,628334.38
2008-10-31,2.07,2.07,2.07,2.07,130154.00,13.00,269418.78
2008-11-03,1.97,1.97,1.97,1.97,143274.00,12.00,282249.78
2008-11-04,1.88,1.88,1.88,1.88,580649.00,30.00,1091620.12
2008-11-05,1.79,1.97,1.79,1.80,4701483.00,59.00,8441783.00
2008-11-06,1.89,1.89,1.89,1.89,205910.00,14.00,389169.91
2008-11-07,1.98,1.98,1.90,1.98,2258900.00,73.00,4472246.00
2008-11-10,2.07,2.07,2.07,2.07,86050.00,5.00,178123.50
2008-11-11,2.17,2.17,2.17,2.17,108000.00,3.00,234360.00
2008-11-12,2.27,2.27,2.27,2.27,459300.00,13.00,1042611.00
2008-11-14,2.49,2.49,2.27,2.27,4484705.00,114.00,10847504.00
