Date,Close,Open
2003-02-17,73.5,71.64
2003-02-18,73.5,73.48
2003-02-19,73.5,73.19
2003-02-21,73.25,73.25
2003-02-24,73.99,73.28
2003-02-25,73,72.53
2003-02-26,73,72.59
2003-02-28,71.5,71.37
2003-03-04,74,72.57
2003-03-05,73,72.19
2003-03-06,73,73
2003-03-07,73,73
2003-03-10,72,72.22
2003-03-11,73.83,72.97
2003-03-13,74.1,73.05
2003-03-14,74,74.01
2003-03-17,74,73.99
2003-03-18,74,73.63
2003-03-19,73,74
2003-03-20,74,74
2003-03-21,74.5,74.71
2003-03-24,74.5,74.41
2003-03-25,74.5,74.15
2003-03-26,74,74.42
2003-03-27,74.5,74.1
2003-03-31,74,74
2003-04-01,74,73.97
2003-04-02,74,73.99
2003-04-03,74,74
2003-04-04,73.5,74
2003-04-07,74,73.27
2003-04-08,72,73.27
2003-04-09,72,71.3
2003-04-10,72.65,73.16
2003-04-11,74.5,73.35
2003-04-14,75.5,75.11
2003-04-15,75,75.59
2003-04-16,73.11,73.9
2003-04-17,74,73.66
2003-04-22,69.5,69.5059
2003-04-23,72.97,71.86
2003-04-24,72.5,72.52
2003-04-25,72.5,70.81
2003-04-28,72.5,72.5
2003-04-29,73.11,73.18
2003-04-30,74,73.6
2003-05-02,76,74.84
2003-05-05,73.5,74.32
2003-05-06,73,73.9
2003-05-07,73.22,73.73
2003-05-08,74.5,74.43
2003-05-09,74.5,74.2
2003-05-12,75.99,74.93
2003-05-14,75,75.11
2003-05-15,75,74.6
2003-05-16,74.5,74.7
2003-05-19,73,73.31
2003-05-20,74,74.02
2003-05-21,74,74.07
2003-05-22,74.49,74.37
2003-05-23,74,74.09
2003-05-26,74,74.01
2003-05-27,74,74
2003-05-28,74.01,74.01
2003-05-30,74.5,74.4
2003-06-02,74.5,74.41
2003-06-03,74.51,74.5
2003-06-04,75,74.91
2003-06-05,74.5,74.53
2003-06-06,75.05,75.05
2003-06-09,75,75.69
2003-06-10,76,75.63
2003-06-11,76,75.86
2003-06-12,76.01,76.43
2003-06-13,78,76.2
2003-06-16,78,77.01
2003-06-17,77.05,76.9
2003-06-18,77.05,77.01
2003-06-19,77.95,77.15
2003-06-20,78,79.24
2003-06-23,80.5,78.77
2003-06-24,83.5,83.49
2003-06-25,87,86.67
2003-06-26,88.02,88.07
2003-06-27,88.02,88.02
2003-06-30,88,87.96
2003-07-01,87.75,87.69
2003-07-02,87.75,87.75
2003-07-03,87.75,87.75
2003-07-04,88,87.79
2003-07-07,88,88
2003-07-08,90,89.78
2003-07-09,90,90
2003-07-10,91,90.21
2003-07-11,91.62,91.07
2003-07-14,91.62,91.62
2003-07-15,95.1,94.16
2003-07-16,90.5,91.56
2003-07-17,89,90
2003-07-18,89.5,89.69
2003-07-21,89.5,89.11
2003-07-23,93,91.25
2003-07-24,90.5,91.63
2003-07-25,88,89.64
2003-07-28,90.01,88.8
2003-07-29,90.01,89.07
2003-07-30,89.6,89.73
2003-07-31,89,89.44
2003-08-01,89,89.03
2003-08-04,89,89.06
