Date,Open,High,Low,Close,Volume,Trades,Value
2013-01-16,1.32,1.33,1.21,1.27,15367176.00,154.00,19596054.00
2013-01-17,1.28,1.28,1.21,1.23,5586006.00,103.00,6893549.00
2013-01-18,1.17,1.17,1.17,1.17,6511776.00,121.00,7620392.00
2013-01-21,1.17,1.20,1.14,1.20,24823688.00,100.00,28952400.00
2013-01-22,1.19,1.19,1.14,1.14,17667600.00,127.00,20491152.00
2013-01-23,1.12,1.19,1.09,1.09,10709465.00,98.00,12076141.00
2013-01-25,1.07,1.10,1.05,1.05,12970650.00,101.00,13897238.00
2013-01-28,1.06,1.10,1.02,1.04,17850580.00,120.00,19066990.00
2013-01-29,1.06,1.09,1.05,1.09,8541629.00,107.00,9192655.00
2013-01-30,1.10,1.13,1.09,1.13,7780385.00,88.00,8550623.00
2013-01-31,1.15,1.18,1.15,1.18,18056666.00,143.00,21143242.00
2013-02-01,1.23,1.23,1.23,1.23,2141925.00,57.00,2633453.50
2013-02-04,1.29,1.29,1.29,1.29,1241412.00,37.00,1601421.50
2013-02-05,1.35,1.35,1.35,1.35,7370789.00,80.00,9950565.00
2013-02-06,1.41,1.41,1.41,1.41,822066.00,45.00,1159113.00
2013-02-07,1.48,1.48,1.48,1.48,6376794.00,65.00,9437655.00
2013-02-08,1.55,1.55,1.42,1.55,30686082.00,186.00,47318092.00
2013-02-12,1.70,1.70,1.70,1.70,24547436.00,65.00,41730644.00
2013-02-13,1.78,1.78,1.64,1.64,61664596.00,249.00,109337624.00
2013-02-14,1.64,1.72,1.58,1.60,13380675.00,232.00,22256992.00
2013-02-15,1.52,1.52,1.52,1.52,4288694.00,92.00,6519065.50
2013-02-18,1.45,1.46,1.45,1.45,2774510.00,51.00,4026768.00
2013-02-19,1.50,1.50,1.38,1.38,3768816.00,45.00,5268728.50
2013-02-19,1.50,1.50,1.38,1.38,3768816.00,45.00,5268728.50
2013-02-25,1.58,1.62,1.58,1.60,2285274.00,98.00,3646171.25
2013-02-26,1.55,1.59,1.53,1.56,3096629.00,87.00,4815867.00
2013-02-27,1.56,1.56,1.52,1.56,1848983.00,83.00,2836703.25
2013-02-28,1.58,1.58,1.58,1.58,407322.00,56.00,635428.31
2013-03-01,1.58,1.58,1.51,1.56,2250660.00,65.00,3512305.00
