Date,Close,Open
2003-02-17,29,29.06
2003-02-18,29.5,29.41
2003-02-19,29.48,29.4
2003-02-21,27.85,27.98
2003-02-24,27.8,27.65
2003-02-25,26.41,26.93
2003-02-26,25.6,25.94
2003-02-28,27.94,27.57
2003-03-04,28.11,28.14
2003-03-05,28,28.0582
2003-03-06,28.06,28.1
2003-03-07,28.1,28.09
2003-03-10,28.1,28.12
2003-03-11,28.1,28.13
2003-03-13,28.37,28.41
2003-03-14,28.4,28.3
2003-03-17,28,28.26
2003-03-18,27.92,27.99
2003-03-19,27.21,27.39
2003-03-20,27,27.2
2003-03-21,27,26.83
2003-03-24,27.2,27
2003-03-25,26.99,27.02
2003-03-26,26.99,26.96
2003-03-27,28.3,27.14
2003-03-31,26.5,26.59
2003-04-01,26.85,26.97
2003-04-02,26.92,26.84
2003-04-03,26.9,26.95
2003-04-04,26.52,26.69
2003-04-07,26.56,26.66
2003-04-08,26.61,26.9
2003-04-09,27,26.72
2003-04-10,26.6,26.89
2003-04-11,27,26.91
2003-04-14,27.2,26.99
2003-04-15,27.7,27.67
2003-04-16,27.95,27.84
2003-04-17,27.89,27.79
2003-04-22,27.5,27.75
2003-04-23,27.65,27.59
2003-04-24,26.99,27.39
2003-04-25,26.8,26.89
2003-04-28,27.14,26.85
2003-04-29,27.28,27.24
2003-04-30,27.19,27.21
2003-05-02,27.19,27.22
2003-05-05,27.26,27.34
2003-05-06,27.31,27.29
2003-05-07,27.33,27.36
2003-05-08,27.68,27.47
2003-05-09,27.75,27.77
2003-05-12,27.7,27.75
2003-05-14,27.8,27.7
2003-05-15,27.78,27.77
2003-05-16,27.77,27.71
2003-05-19,27.73,27.71
2003-05-20,27.99,27.83
2003-05-21,28,27.98
2003-05-22,28.3,28.06
2003-05-23,28.16,28.29
2003-05-26,28.5,28.44
2003-05-27,28.7,28.61
2003-05-28,29.91,29.28
2003-05-30,29,29.27
2003-06-02,29,29.12
2003-06-03,28.8,28.58
2003-06-04,28.2,28.66
2003-06-05,28.79,28.4
2003-06-06,28.84,28.68
2003-06-09,29.15,28.94
2003-06-10,29.9,29.35
2003-06-11,29.65,29.75
2003-06-12,29.7,29.7
2003-06-13,29.61,29.8
2003-06-16,29.6,29.52
2003-06-17,29,29.07
2003-06-18,28.99,29.08
2003-06-19,28.97,28.93
2003-06-20,29,29
2003-06-23,29,29.02
2003-06-24,29,29.02
2003-06-25,29,29
2003-06-26,29,29
2003-06-27,29.07,29.01
2003-06-30,29.1,29.1
2003-07-01,29,29.02
2003-07-02,29.05,29
2003-07-03,29,29
2003-07-04,29,29
2003-07-07,29,28.99
2003-07-08,29.7,29.09
2003-07-09,29.69,29.86
2003-07-10,29.82,29.78
2003-07-11,28.95,29.46
2003-07-14,27.7,28.01
2003-07-15,28,27.75
2003-07-16,28.71,28.62
2003-07-17,28.99,28.94
2003-07-18,29,29.08
2003-07-21,28.99,29.02
2003-07-23,28.2,28.23
2003-07-24,27.9,27.91
2003-07-25,27,27.59
2003-07-28,19.23,19.23
2003-07-29,19.85,19.87
2003-07-30,19.8,19.87
2003-07-31,19.66,19.74
2003-08-01,19.85,19.83
2003-08-04,20,19.97
2003-08-05,20,19.98
2003-08-06,20.4,20
2003-08-07,20.04,20.27
2003-08-08,20.99,20.5
2003-08-11,20.98,20.9
2003-08-12,21,20.95
2003-08-13,21.01,20.96
2003-08-14,21.04,21.05
2003-08-15,21.06,21.05
2003-08-18,21.45,21.23
2003-08-19,22,21.76
2003-08-20,22.3,22.19
2003-08-21,22.45,22.46
2003-08-22,22.2,22.32
2003-08-25,21.52,21.9
2003-08-26,21.75,21.79
2003-08-27,21.77,22.21
2003-08-28,21.5,21.65
2003-08-29,21.68,21.55
2003-09-01,22.76,22.36
2003-09-02,23.89,22.74
2003-09-03,25.06,24.48
2003-09-04,25.9,25.18
2003-09-05,24.61,24.86
2003-09-08,23.42,23.57
2003-09-09,23.4,23.23
2003-09-10,23.1,23.09
2003-09-11,24,23.87
2003-09-12,24,24.17
2003-09-15,24.2,24.05
2003-09-16,23.46,23.74
2003-09-17,23.3,23.23
2003-09-18,23.51,23.55
2003-09-19,23.6,23.61
2003-09-22,23.61,23.63
2003-09-23,23.5,23.5742
2003-09-24,23.61,23.6
2003-09-25,23.48,23.58
2003-09-26,23.23,23.38
2003-09-29,22.58,22.8
2003-09-30,22.65,22.64
2003-10-02,23.29,23.09
2003-10-03,23.41,23.47
2003-10-06,23.5,23.24
2003-10-07,22.81,22.93
2003-10-08,23.25,23
2003-10-09,23.1,23.33
2003-10-10,23.11,23.13
2003-10-13,23,23.11
2003-10-14,23.01,23.1
2003-10-15,23.06,23.07
2003-10-16,22.99,23.14
2003-10-17,22.98,22.99
2003-10-20,22.99,22.99
2003-10-22,22.96,22.97
2003-10-23,23,23
2003-10-24,23.01,23
2003-10-27,22.75,23.24
2003-10-28,22.91,22.95
2003-10-29,22.98,22.98
2003-10-30,22.4,22.85
2003-10-31,22.99,23.07
2003-11-03,23,23.01
2003-11-04,23.05,23.04
2003-11-05,24.2,23.49
2003-11-06,25.41,25.22
2003-11-07,26,26.33
2003-11-10,25.9,25.89
2003-11-11,26,25.96
2003-11-12,25.95,25.91
2003-11-13,25.82,25.87
2003-11-14,24.9,25.11
2003-11-17,25.9,25.23
2003-11-18,26,25.99
2003-11-19,25.85,25.93
2003-11-20,25.6,25.84
2003-11-21,25.54,25.62
2003-11-26,24.97,25.14
2003-11-27,23.89,24.09
2003-11-28,23.95,23.92
2003-12-01,23.95,23.98
2003-12-02,23.91,23.93
2003-12-03,23.38,23.54
2003-12-04,23.91,23.69
2003-12-05,25,25.01
2003-12-08,24.71,24.69
2003-12-09,24.75,24.94
2003-12-10,24.76,24.85
2003-12-11,24.8,24.87
2003-12-12,24,24.59
2003-12-15,24.97,24.69
2003-12-16,23.9,24.2
2003-12-17,23.5,23.8
2003-12-18,23.65,23.68
2003-12-19,23.8,23.67
2003-12-22,24.19,23.94
2003-12-23,24,23.99
2003-12-24,23.99,23.98
2003-12-29,24.21,24.12
2003-12-30,24.66,24.66
2003-12-31,25.01,25.3
2004-01-02,25.45,25.16
2004-01-05,24.9,25.34
2004-01-06,25,25.05
2004-01-07,25,25.01
2004-01-08,25.4,25.37
2004-01-09,25.3,25.21
2004-01-13,25.55,25.58
2004-01-14,25.9,25.72
2004-01-15,25.92,25.87
