Date,Open,High,Low,Close,Volume,Trades,Value
2010-07-02,51.50,52.50,51.50,52.50,60000.00,4.00,3133000.00
2010-07-19,52.50,52.50,52.50,52.50,20000.00,1.00,1020000.00
2010-07-29,52.50,52.50,52.50,52.50,15050.00,3.00,790125.00
2010-08-02,50.00,50.00,50.00,50.00,60000.00,1.00,3000000.00
2010-08-04,50.00,50.00,50.00,50.00,10000.00,4.00,500000.00
2010-08-06,50.00,50.00,50.00,50.00,2000.00,1.00,100000.00
2010-08-17,50.00,50.00,50.00,50.00,1250.00,1.00,62500.00
2010-08-18,50.00,50.00,50.00,50.00,28400.00,3.00,1360700.00
2010-08-19,50.00,50.00,50.00,50.00,100.00,1.00,5000.00
2010-08-23,50.00,50.00,50.00,50.00,400.00,2.00,20000.00
2010-08-25,50.00,50.00,50.00,50.00,2000.00,2.00,100000.00
2010-11-04,50.00,50.00,50.00,50.00,650.00,1.00,32500.00
2010-11-09,50.00,50.00,50.00,50.00,1650.00,1.00,82500.00
2010-11-10,50.00,50.00,50.00,50.00,256350.00,7.00,12817500.00
2010-11-11,50.00,50.00,50.00,50.00,193650.00,1.00,9682500.00
2010-11-12,50.00,50.00,50.00,50.00,100.00,1.00,4800.00
2010-11-30,50.00,50.00,50.00,50.00,1200.00,1.00,57000.00
2010-12-01,50.00,50.00,50.00,50.00,8800.00,1.00,418000.00
2010-12-02,50.00,50.00,50.00,50.00,2000.00,1.00,95000.00
2010-12-03,50.00,50.00,50.00,50.00,200.00,1.00,9500.00
2010-12-07,50.00,50.00,50.00,50.00,200.00,1.00,9500.00
2010-12-08,50.00,50.00,50.00,50.00,22000.00,5.00,1063050.00
2010-12-10,50.00,50.00,50.00,50.00,1000.00,1.00,47500.00
2010-12-23,50.00,50.00,50.00,50.00,10000.00,1.00,475000.00
2010-12-29,50.00,50.00,50.00,50.00,22800.00,3.00,1105000.00
2011-01-05,50.00,50.00,50.00,50.00,6500.00,3.00,325000.00
2011-01-10,50.00,50.00,50.00,50.00,11000.00,3.00,522500.00
2011-01-11,50.00,50.00,50.00,50.00,50000.00,3.00,2500000.00
2011-01-12,50.00,50.00,50.00,50.00,5300.00,1.00,254400.00
2011-01-14,50.00,50.00,50.00,50.00,250.00,1.00,12500.00
2011-01-17,50.00,50.00,50.00,50.00,32500.00,1.00,1625000.00
2011-02-08,50.00,50.00,50.00,50.00,10800.00,2.00,540000.00
2011-02-09,50.00,50.00,50.00,50.00,2000.00,1.00,100000.00
2011-02-17,50.00,50.00,50.00,50.00,4700.00,1.00,235000.00
2011-02-22,50.00,50.00,50.00,50.00,18500.00,3.00,925000.00
2011-02-23,50.00,50.00,50.00,50.00,275.00,2.00,13750.00
2011-02-24,50.00,50.00,50.00,50.00,18.00,1.00,900.00
2011-02-28,50.00,50.00,50.00,50.00,3000.00,2.00,150000.00
2011-03-01,50.00,50.00,50.00,50.00,23032.00,4.00,1151614.00
2011-03-02,50.00,50.00,50.00,50.00,860.00,1.00,43000.00
2011-03-07,50.00,50.00,50.00,50.00,58.00,1.00,2900.00
2011-03-09,50.00,50.00,50.00,50.00,11000.00,2.00,550000.00
