Date,Open,High,Low,Close,Volume,Trades,Value
2008-09-11,3.00,3.15,3.00,3.00,6147427.00,37.00,18551232.00
2008-09-12,3.15,3.15,2.97,3.15,1100100.00,7.00,3357315.00
2008-09-15,3.13,3.30,3.13,3.30,150200.00,11.00,482341.00
2008-09-16,3.46,3.46,3.27,3.46,1004500.00,29.00,3463062.00
2008-09-17,3.46,3.63,3.43,3.63,335150.00,16.00,1198494.50
2008-09-18,3.60,3.74,3.60,3.70,7537450.00,33.00,27142408.00
2008-09-19,3.67,3.67,3.67,3.67,409644.00,29.00,1503393.50
2008-09-22,3.64,3.64,3.64,3.64,607808.00,14.00,2212421.00
2008-09-23,3.61,3.61,3.61,3.61,512428.00,17.00,1849865.12
2008-09-24,3.58,3.58,3.58,3.58,110150.00,6.00,394337.00
2008-09-25,3.55,3.55,3.55,3.55,604465.00,9.00,2145850.75
2008-09-26,3.52,3.52,3.52,3.52,1043609.00,9.00,3673503.75
2008-10-15,3.34,3.34,3.34,3.37,8000.00,2.00,26720.00
2008-10-16,3.34,3.34,3.34,3.34,3216493.00,5.00,10743087.00
2008-10-20,3.31,3.31,3.31,3.34,2000.00,1.00,6620.00
2008-10-21,3.31,3.31,3.31,3.34,5000.00,1.00,16550.00
2008-10-22,3.31,3.31,3.31,3.31,176500.00,15.00,584215.00
2008-10-23,3.28,3.28,3.28,3.31,12478.00,4.00,40927.84
2008-10-24,3.28,3.28,3.28,3.31,10000.00,2.00,32800.00
2008-10-27,3.28,3.28,3.28,3.28,2512000.00,6.00,8239360.00
2008-10-28,3.12,3.12,3.12,3.12,402600.00,5.00,1256112.00
2008-10-29,2.97,2.97,2.97,3.12,45000.00,1.00,133650.00
2008-10-30,2.97,2.97,2.97,3.12,10000.00,1.00,29700.00
2008-10-31,2.97,2.97,2.97,3.12,28000.00,3.00,83160.00
2008-11-03,2.97,2.97,2.97,2.97,51000.00,3.00,151470.00
2008-11-06,2.83,2.83,2.83,2.97,17800.00,4.00,50374.00
2008-11-07,2.83,2.83,2.83,2.83,50000.00,2.00,141500.00
2008-11-10,2.69,2.69,2.69,2.69,255500.00,7.00,687295.00
2008-11-11,2.56,2.56,2.56,2.69,10000.00,1.00,25600.00
2008-11-12,2.56,2.56,2.56,2.69,46360.00,4.00,118681.60
2008-11-14,2.56,2.56,2.56,2.56,97000.00,3.00,248320.00
2008-11-17,2.44,2.44,2.44,2.44,140.00,2.00,341.00
2008-11-18,2.32,2.32,2.32,2.44,18200.00,4.00,42224.00
2008-11-19,2.32,2.32,2.32,2.44,27000.00,4.00,62640.00
2008-11-20,2.32,2.32,2.32,2.44,5000.00,1.00,11600.00
2008-11-24,2.32,2.32,2.32,2.44,5000.00,1.00,11600.00
2008-11-26,2.21,2.21,2.21,2.21,354279.00,5.00,782956.56
2008-11-27,2.10,2.10,2.10,2.10,101230.00,2.00,212583.00
2008-11-28,2.00,2.00,2.00,2.00,3354333.00,25.00,6708666.00
2008-12-02,1.90,1.90,1.90,1.90,104000.00,3.00,197600.00
2008-12-03,1.72,1.72,1.72,1.81,10100.00,2.00,17372.00
2008-12-04,1.72,1.72,1.72,1.81,35000.00,2.00,60200.00
2008-12-05,1.72,1.72,1.72,1.81,8000.00,2.00,13760.00
2008-12-10,1.72,1.72,1.72,1.81,41500.00,5.00,71380.00
2008-12-11,1.72,1.72,1.72,1.72,150000.00,6.00,258000.00
2008-12-15,1.64,1.64,1.64,1.64,55500.00,2.00,91020.00
2008-12-16,1.56,1.56,1.56,1.64,5500.00,1.00,8580.00
2008-12-17,1.56,1.56,1.56,1.64,47450.00,5.00,74022.00
2008-12-18,1.56,1.56,1.56,1.64,2000.00,1.00,3120.00
2008-12-19,1.56,1.56,1.56,1.64,2000.00,2.00,3120.00
2008-12-22,1.56,1.56,1.56,1.56,131000.00,5.00,204360.00
2008-12-23,1.49,1.49,1.49,1.56,400.00,1.00,596.00
2008-12-24,1.49,1.49,1.49,1.49,100000.00,6.00,149000.00
2008-12-29,1.42,1.42,1.42,1.42,113000.00,2.00,160460.00
2008-12-30,1.35,1.35,1.35,1.35,157200.00,9.00,212220.00
2008-12-31,1.29,1.29,1.29,1.29,202000.00,4.00,260580.00
2009-01-02,1.23,1.23,1.23,1.23,216000.00,5.00,265680.00
2009-01-05,1.17,1.17,1.17,1.17,136000.00,7.00,159120.00
2009-01-06,1.12,1.12,1.12,1.12,59000.00,5.00,66080.00
2009-01-07,1.07,1.07,1.07,1.07,1149900.00,13.00,1230393.00
2009-01-08,1.02,1.02,1.02,1.02,166000.00,9.00,169320.00
2009-01-09,0.97,1.07,0.97,1.06,7525533.00,43.00,7304817.00
2009-01-12,1.06,1.06,1.01,1.01,227450.00,8.00,230074.50
2009-01-13,0.96,1.00,0.96,1.00,5835341.00,23.00,5603247.50
2009-01-14,0.95,0.95,0.95,0.95,239681.00,11.00,227696.95
2009-01-15,0.91,0.91,0.91,0.91,215276.00,13.00,195901.16
2009-01-16,0.87,0.87,0.87,0.87,2006044.00,23.00,1745258.25
2009-01-19,0.83,0.83,0.83,0.83,589680.00,19.00,489434.41
2009-01-20,0.79,0.79,0.79,0.79,170844.00,10.00,134966.77
2009-01-21,0.76,0.76,0.76,0.76,120000.00,7.00,91200.00
2009-01-22,0.73,0.79,0.73,0.79,5118975.00,33.00,3739651.75
2009-01-23,0.79,0.79,0.76,0.79,345000.00,16.00,267900.00
2009-01-26,0.76,0.76,0.76,0.76,202822.00,6.00,154144.72
2009-01-27,0.73,0.73,0.73,0.73,122892.00,7.00,89711.16
2009-01-28,0.70,0.70,0.70,0.70,259848.00,11.00,181893.59
2009-01-29,0.67,0.67,0.67,0.67,395500.00,15.00,264985.00
2009-01-30,0.64,0.67,0.64,0.67,601652.00,9.00,386557.28
2009-02-02,0.64,0.64,0.64,0.64,428914.00,19.00,274504.97
2009-02-02,0.64,0.64,0.64,0.64,428914.00,19.00,274504.97
2009-02-03,0.61,0.67,0.61,0.67,1408536.00,27.00,867379.44
2009-02-04,0.64,0.70,0.64,0.70,399500.00,18.00,273680.00
2009-02-05,0.73,0.73,0.73,0.73,445000.00,10.00,324850.00
2009-02-06,0.76,0.76,0.76,0.76,1899465.00,20.00,1443593.38
2009-02-09,0.73,0.79,0.73,0.79,1151503.00,40.00,892627.25
2009-02-10,0.82,0.82,0.78,0.78,571700.00,22.00,450516.50
2009-02-11,0.77,0.77,0.75,0.75,1696965.00,34.00,1274583.75
2009-02-12,0.72,0.72,0.72,0.72,2897250.00,35.00,2086020.00
2009-02-13,0.69,0.69,0.69,0.69,1025211.00,8.00,707395.56
2009-02-16,0.66,0.66,0.66,0.66,99000.00,7.00,65340.00
2009-02-17,0.63,0.63,0.63,0.63,228500.00,19.00,143955.00
2009-02-18,0.60,0.62,0.60,0.60,1340749.00,14.00,805184.38
2009-02-19,0.57,0.57,0.57,0.57,196512.00,9.00,112011.84
2009-02-20,0.55,0.59,0.55,0.59,2401531.00,27.00,1360057.25
2009-02-23,0.61,0.61,0.61,0.61,356110.00,7.00,217227.09
2009-02-24,0.64,0.64,0.64,0.64,2617562.00,18.00,1675239.62
2009-02-25,0.67,0.67,0.67,0.67,884789.00,9.00,592808.62
2009-02-26,0.70,0.70,0.70,0.70,2402000.00,38.00,1681400.00
2009-02-27,0.73,0.73,0.73,0.73,1298000.00,16.00,947540.00
2009-03-02,0.73,0.73,0.70,0.70,2357300.00,24.00,1651010.00
2009-03-03,0.67,0.67,0.67,0.67,637400.00,13.00,427058.00
2009-03-04,0.64,0.70,0.64,0.70,1830667.00,25.00,1211896.50
2009-03-05,0.67,0.73,0.67,0.67,1877500.00,17.00,1261205.00
2009-03-06,0.66,0.67,0.64,0.65,3305406.00,28.00,2137994.00
2009-03-10,0.62,0.68,0.62,0.68,702720.00,19.00,474324.59
2009-03-12,0.70,0.70,0.67,0.69,278820.00,7.00,189122.00
2009-03-13,0.66,0.67,0.66,0.66,2032100.00,14.00,1342186.00
2009-03-16,0.63,0.66,0.63,0.65,177000.00,8.00,113940.00
2009-03-17,0.68,0.68,0.65,0.67,680833.00,12.00,451107.78
2009-03-18,0.64,0.68,0.64,0.68,1158646.00,14.00,771933.44
2009-03-19,0.65,0.65,0.65,0.65,523466.00,7.00,340252.91
2009-03-20,0.62,0.62,0.62,0.62,86000.00,10.00,53320.00
2009-03-23,0.59,0.62,0.59,0.60,1592857.00,24.00,946756.38
2009-03-24,0.57,0.60,0.57,0.60,1022500.00,13.00,591700.00
2009-03-25,0.57,0.60,0.57,0.60,923900.00,15.00,537367.31
2009-03-26,0.57,0.57,0.57,0.60,8520.00,3.00,4856.40
2009-03-27,0.57,0.60,0.57,0.57,578194.00,9.00,329690.59
2009-03-30,0.55,0.55,0.55,0.55,1027652.00,14.00,565208.62
2009-03-31,0.53,0.53,0.53,0.53,2526684.00,18.00,1339142.50
2009-04-01,0.52,0.55,0.51,0.55,1353086.00,22.00,717135.56
2009-04-02,0.57,0.57,0.55,0.57,940233.00,13.00,531359.12
2009-04-03,0.57,0.59,0.56,0.56,1881555.00,29.00,1082007.50
2009-04-06,0.56,0.56,0.54,0.56,527898.00,22.00,295222.88
2009-04-07,0.54,0.58,0.54,0.58,808632.00,14.00,459113.28
2009-04-08,0.60,0.60,0.60,0.60,424000.00,11.00,254400.00
2009-04-09,0.63,0.63,0.63,0.63,659958.00,6.00,415773.53
2009-04-14,0.66,0.66,0.66,0.66,518100.00,6.00,341946.00
2009-04-15,0.69,0.69,0.69,0.69,952462.00,10.00,657198.75
2009-04-16,0.71,0.71,0.66,0.70,509543.00,24.00,353816.53
2009-04-17,0.67,0.68,0.67,0.68,564442.00,11.00,379336.56
2009-04-20,0.65,0.70,0.65,0.70,1665957.00,27.00,1107050.38
2009-04-21,0.70,0.70,0.67,0.67,512460.00,16.00,346354.00
2009-04-22,0.67,0.70,0.66,0.70,3625857.00,23.00,2408857.00
2009-04-23,0.71,0.72,0.70,0.70,108000.00,9.00,75967.00
2009-04-24,0.73,0.73,0.67,0.73,426860.00,10.00,297387.56
2009-04-27,0.73,0.76,0.73,0.76,384143.00,16.00,289488.69
2009-04-28,0.76,0.78,0.76,0.76,2922932.00,19.00,2274474.25
2009-04-29,0.79,0.79,0.76,0.76,787765.00,13.00,620344.38
2009-04-30,0.76,0.79,0.76,0.79,1660943.00,21.00,1282183.75
2009-05-04,0.77,0.82,0.76,0.80,3512498.00,16.00,2703918.50
2009-05-05,0.76,0.76,0.76,0.76,97731.00,9.00,74275.56
2009-05-06,0.76,0.76,0.73,0.73,746400.00,13.00,546372.00
2009-05-07,0.73,0.76,0.70,0.76,1317901.00,26.00,954817.81
2009-05-08,0.79,0.79,0.76,0.79,703000.00,13.00,553230.00
2009-05-11,0.82,0.82,0.82,0.79,9000.00,1.00,7380.00
2009-05-12,0.82,0.82,0.82,0.82,530000.00,7.00,434600.00
2009-05-13,0.86,0.86,0.86,0.86,1353600.00,13.00,1164096.00
2009-05-14,0.90,0.90,0.82,0.82,3459550.00,28.00,3083135.00
2009-05-15,0.78,0.78,0.78,0.78,1250068.00,29.00,975053.06
2009-05-18,0.75,0.81,0.75,0.81,2931500.00,26.00,2201772.75
2009-05-19,0.80,0.85,0.80,0.85,1505000.00,7.00,1257750.00
2009-05-20,0.89,0.89,0.89,0.89,270000.00,4.00,240300.00
2009-05-21,0.93,0.93,0.93,0.93,248700.00,3.00,231291.00
2009-05-22,0.97,0.97,0.95,0.97,1294754.00,32.00,1248331.12
2009-05-25,1.01,1.01,1.01,1.01,400000.00,13.00,404000.00
