Date,Close,Open
2007-01-17,7.5,7.5
2007-01-23,7.13,7.13
2007-01-24,6.78,6.78
2007-01-25,6.45,6.45
2007-01-30,6.45,6.45
2007-02-06,6.45,6.45
2007-02-07,6.45,6.45
2007-02-13,6.3,6.3
2007-02-15,5.99,6.14
2007-02-16,5.7,5.7
2007-02-19,5.45,5.51
2007-02-20,5.18,5.18
2007-02-21,4.93,4.94
2007-02-22,4.69,4.69
2007-02-23,4.46,4.46
2007-02-26,4.24,4.46
2007-02-27,4.03,4.04
2007-02-28,4,4.01
2007-03-01,4,3.88
2007-03-02,4.18,4.18
2007-03-05,4.38,4.06
2007-03-06,4.17,4.26
2007-03-07,4.17,4.17
2007-03-08,4.25,3.98
2007-03-09,4.1,4.2
2007-03-12,4.1,4.02
2007-03-13,4.1,4.1
2007-03-14,4.3,4.1
2007-03-15,4.51,4.12
2007-03-16,4.72,4.35
2007-03-19,4.95,4.95
2007-03-20,5,4.99
2007-03-21,5.25,4.92
2007-03-22,5.51,5.51
2007-03-23,5.78,5.78
2007-03-26,5.5,5.6
2007-03-27,5.75,5.47
2007-03-28,5.47,5.54
2007-03-29,5.2,5.25
2007-03-30,5,5.36
2007-04-03,4.75,4.75
2007-04-04,4.94,4.59
2007-04-05,4.7,4.7
2007-04-10,4.93,4.72
2007-04-11,4.69,4.72
2007-04-16,4.51,4.49
2007-04-17,4.36,4.37
2007-04-18,4.57,4.57
2007-04-19,4.79,4.79
2007-04-23,5.02,5.02
2007-04-24,5.27,5.27
2007-04-25,5.53,5.53
2007-04-26,5.8,5.8
2007-04-27,6,5.99
2007-04-30,6.3,6.02
2007-05-02,6.5,6.59
2007-05-03,6.5,6.37
2007-05-04,6.19,6.33
2007-05-07,6.49,6.44
2007-05-08,6.4,6.39
2007-05-09,6.1,6.44
2007-05-10,6.4,6.2
2007-05-11,6.6,6.58
2007-05-14,6.42,6.44
2007-05-15,6.5,6.46
2007-05-16,6.2,6.2
2007-05-17,6.5,6.47
2007-05-18,6.18,6.19
2007-05-21,6.18,6.12
