Date,Open,High,Low,Close,Volume,Trades,Value
2008-02-11,1.94,1.94,1.94,1.94,29470000.00,457.00,57171800.00
2008-02-12,2.03,2.03,2.03,2.03,362000.00,19.00,734860.00
2008-02-13,2.13,2.13,2.13,2.13,496000.00,47.00,1056480.00
2008-02-14,2.23,2.23,2.23,2.23,98000.00,9.00,218540.00
2008-02-15,2.34,2.34,2.34,2.34,5052000.00,4.00,11821680.00
2008-02-18,2.45,2.45,2.45,2.45,115000.00,3.00,281750.00
2008-02-19,2.57,2.57,2.57,2.57,225290.00,7.00,578995.31
2008-02-20,2.69,2.69,2.69,2.69,88325800.00,33.00,237596400.00
2008-02-21,2.82,2.82,2.82,2.82,120356000.00,41.00,339403936.00
2008-02-22,2.96,2.96,2.96,2.96,62744000.00,22.00,185722240.00
2008-02-25,3.10,3.10,3.10,3.10,283037088.00,35.00,877415040.00
2008-02-26,3.25,3.25,3.25,3.25,143736992.00,32.00,467145248.00
2008-02-27,3.41,3.41,3.41,3.41,642594432.00,105.00,2191247104.00
2008-02-28,3.58,3.58,3.58,3.58,396186368.00,59.00,1418347136.00
2008-02-29,3.75,3.75,3.70,3.75,101.00,469.00,381.00
2008-03-03,3.93,3.93,3.93,3.93,38589000.00,144.00,151654768.00
2008-03-04,4.12,4.12,3.77,3.80,187952128.00,1233.00,765905344.00
2008-03-05,3.99,3.99,3.62,3.80,200494976.00,1452.00,776130304.00
2008-03-06,3.79,3.95,3.65,3.68,183442928.00,1412.00,702514560.00
2008-03-07,3.50,3.50,3.50,3.50,217085568.00,1415.00,759799488.00
2008-03-10,3.51,3.67,3.50,3.67,110454536.00,907.00,403637184.00
2008-03-11,3.85,3.85,3.85,3.85,119681104.00,929.00,460772256.00
2008-03-12,4.04,4.04,3.72,3.75,239225520.00,2262.00,957818048.00
2008-03-13,3.93,3.93,3.88,3.90,116081440.00,1716.00,455310976.00
2008-03-14,3.99,4.00,3.72,3.85,110974656.00,1467.00,429004512.00
2008-03-17,3.85,3.85,3.66,3.66,125686776.00,1340.00,462253216.00
2008-03-18,3.48,3.48,3.48,3.48,56160972.00,1209.00,195440192.00
2008-03-20,3.31,3.31,3.31,3.31,140153904.00,1159.00,463909440.00
2008-03-25,3.30,3.31,3.15,3.15,94736336.00,1238.00,301479680.00
2008-03-26,3.00,3.05,3.00,3.00,130056440.00,1044.00,390252288.00
2008-03-27,3.00,3.15,2.89,3.15,88283392.00,970.00,267958752.00
2008-03-28,3.30,3.30,3.27,3.29,270819168.00,1296.00,893025920.00
2008-03-31,3.43,3.45,3.13,3.27,152301840.00,1440.00,508405600.00
2008-04-01,3.38,3.38,3.11,3.16,137616928.00,1353.00,432865408.00
2008-04-02,3.12,3.25,3.09,3.20,61741364.00,1161.00,195042752.00
2008-04-03,3.20,3.30,3.15,3.25,75969008.00,1277.00,246689248.00
2008-04-04,3.37,3.37,3.20,3.29,91061872.00,1158.00,296226688.00
2008-04-07,3.33,3.35,3.25,3.30,45921576.00,1120.00,152154000.00
2008-04-08,3.33,3.33,3.15,3.28,58898800.00,1176.00,193495824.00
2008-04-09,3.35,3.35,3.12,3.25,79959472.00,1312.00,257546448.00
2008-04-10,3.26,3.26,3.16,3.25,68654352.00,1488.00,221657104.00
2008-04-11,3.25,3.29,3.15,3.18,60126080.00,1357.00,193016112.00
2008-04-14,3.25,3.25,3.07,3.08,60759892.00,1358.00,191306160.00
2008-04-15,3.10,3.20,3.02,3.06,83812832.00,990.00,258900800.00
2008-04-16,3.10,3.20,3.02,3.06,83812832.00,990.00,258900800.00
2008-04-17,3.09,3.09,2.85,2.85,85658560.00,1151.00,247225392.00
2008-04-18,2.83,2.85,2.75,2.80,66292600.00,1071.00,185706976.00
2008-04-21,2.94,2.94,2.80,2.94,38475320.00,757.00,111719152.00
2008-04-22,3.05,3.08,2.99,3.08,39473696.00,792.00,121164576.00
2008-04-23,3.19,3.23,3.08,3.17,75243608.00,1858.00,240423696.00
2008-04-24,3.24,3.24,3.03,3.03,53403820.00,1486.00,168267984.00
2008-04-25,3.14,3.14,2.99,3.00,45252940.00,1178.00,138281824.00
2008-04-28,2.97,3.10,2.90,3.00,94806104.00,1177.00,285846976.00
2008-04-29,3.00,3.08,2.95,2.95,39932200.00,1061.00,119493800.00
2008-04-30,3.04,3.09,2.95,2.99,90547440.00,1007.00,272481088.00
