Date,Close,Open
2003-02-17,4.66,4.65
2003-02-18,4.88,4.69
2003-02-19,4.91,4.9
2003-02-21,5.2,5.04
2003-02-24,5.4,5
2003-02-25,5.18,5.21
2003-02-26,5,5.06
2003-02-28,4.9,4.99
2003-03-04,4.67,4.67
2003-03-05,4.67,4.67
2003-03-06,4.6,4.63
2003-03-07,4.8,4.46
2003-03-10,4.56,4.56
2003-03-11,4.34,4.5
2003-03-13,4.14,4.23
2003-03-14,4.2,4.17
2003-03-17,4.4,4.17
2003-03-18,4.4,4.4
2003-03-19,4.4,4.4
2003-03-20,4.4,4.41
2003-03-21,4.18,4.22
2003-03-24,4.37,4.34
2003-03-25,4.58,4.55
2003-03-26,4.4,4.52
2003-03-27,4.18,4.24
2003-03-31,4.38,4.22
2003-04-01,4.17,4.2
2003-04-02,4.2,4.2
2003-04-03,4,4.01
2003-04-04,3.8,3.92
2003-04-07,3.85,3.8
2003-04-08,4,4
2003-04-09,4.2,4.04
2003-04-10,4.41,4.39
2003-04-11,4.63,4.61
2003-04-14,4.4,4.53
2003-04-15,4.18,4.31
2003-04-16,4,4
2003-04-17,4.2,3.96
2003-04-22,4,4.09
2003-04-23,4,4.01
2003-04-24,4,3.98
2003-04-25,4.19,3.92
2003-04-28,4,4
2003-04-29,4,3.81
2003-04-30,4.2,4.19
2003-05-02,4.2,4.02
2003-05-06,4,4.12
2003-05-07,4,4.03
2003-05-08,4,3.98
2003-05-09,3.8,3.8
2003-05-12,3.98,3.73
2003-05-14,3.8,3.82
2003-05-15,3.61,3.65
2003-05-16,3.79,3.73
2003-05-19,3.97,3.85
2003-05-20,4.16,4
2003-05-21,3.97,4.13
2003-05-22,4,3.99
2003-05-23,4,4.01
2003-05-26,4,4
2003-05-27,4,4
2003-05-28,4,4
2003-05-30,4,4
2003-06-02,3.8,3.87
2003-06-03,3.65,3.66
2003-06-04,3.8,3.7
2003-06-05,3.8,3.8
2003-06-06,3.7,3.64
2003-06-09,3.88,3.73
2003-06-10,4.07,4.04
2003-06-11,3.9,3.97
2003-06-12,4.07,3.72
2003-06-13,4.07,4.07
2003-06-16,4,4.05
2003-06-17,4.2,4
2003-06-18,4,4
2003-06-19,4.1,4.06
2003-06-20,4.19,4.01
2003-06-23,4.19,4.19
2003-06-24,4,4.01
2003-06-25,4,4
2003-06-26,4.2,4.16
2003-06-27,4.2,4.12
2003-07-01,4.2,4.2
2003-07-02,4.2,4.2
2003-07-03,4.02,4
2003-07-04,4,4.02
2003-07-07,4,3.99
2003-07-08,4,4
2003-07-09,4.2,4.18
2003-07-10,4.01,4
2003-07-11,4.01,4
2003-07-14,4.01,4.11
2003-07-15,3.82,4.01
2003-07-16,4.2,4.12
2003-07-17,4,4
2003-07-18,4,4
2003-07-21,3.82,3.82
2003-07-23,3.63,3.73
2003-07-24,3.71,3.71
2003-07-25,3.71,3.71
2003-07-28,3.73,3.84
2003-07-29,3.8,3.74
2003-07-30,3.72,3.8
2003-07-31,3.8,3.74
2003-08-01,3.99,3.99
2003-08-04,4,3.99
2003-08-05,4,4.06
2003-08-06,4,4.01
2003-08-07,3.8,4
2003-08-08,3.8,3.8
2003-08-11,3.8,3.96
2003-08-12,3.99,3.97
2003-08-13,3.81,3.81
2003-08-14,4,3.83
2003-08-15,3.8,3.95
2003-08-18,3.8,3.8
2003-08-19,3.99,3.85
2003-08-20,3.8,3.98
2003-08-21,3.8,3.8
2003-08-22,3.98,3.98
2003-08-25,3.98,3.98
2003-08-26,4,4.09
2003-08-27,3.8,3.99
2003-08-28,3.8,3.8
2003-08-29,3.75,3.79
2003-09-01,3.92,3.9
2003-09-02,3.85,3.92
2003-09-03,3.66,3.68
2003-09-04,3.5,3.48
2003-09-05,3.67,3.66
2003-09-08,3.85,3.85
2003-09-09,3.9,3.88
2003-09-10,3.9,3.9
2003-09-11,3.75,3.82
2003-09-12,3.75,3.75
2003-09-15,3.76,3.76
2003-09-16,3.94,3.82
2003-09-17,3.75,3.75
2003-09-18,3.4,3.4
2003-09-19,3.25,3.3
2003-09-22,3.09,3.09
2003-09-23,2.94,2.96
2003-09-24,3.07,2.94
2003-09-25,3.22,3.21
2003-09-26,3.22,3.3
2003-09-29,3.38,3.38
2003-09-30,3.54,3.52
2003-10-02,3.54,3.54
2003-10-06,3.4,3.4
2003-10-07,3.23,3.25
2003-10-08,3.23,3.23
2003-10-09,3.07,3.08
2003-10-10,2.94,2.93
2003-10-13,2.94,2.92
2003-10-14,3.08,3.08
2003-10-15,3.1,3.09
2003-10-16,3.1,3.1
2003-10-17,2.95,2.99
2003-10-20,2.93,2.89
2003-10-22,2.8,2.8
2003-10-23,2.93,2.88
2003-10-24,2.95,2.95
2003-10-27,3,3.05
2003-10-28,2.96,2.98
2003-10-29,3,2.98
2003-10-30,2.96,3
2003-10-31,2.9,2.94
2003-11-03,2.76,2.86
2003-11-04,2.89,2.78
2003-11-05,2.75,2.78
2003-11-06,2.77,2.78
2003-11-07,2.64,2.76
2003-11-10,2.77,2.71
2003-11-11,2.64,2.69
2003-11-12,2.77,2.77
2003-11-13,2.77,2.77
2003-11-14,2.62,2.66
2003-11-17,2.75,2.71
