Date,Open,High,Low,Close,Volume,Trades,Value
2006-01-05,0.00,NA,NA,3.48,NA,NA,NA
2006-01-06,3.48,NA,NA,3.48,NA,NA,NA
2006-01-09,3.48,NA,NA,3.35,NA,NA,NA
2006-01-12,3.35,NA,NA,3.19,NA,NA,NA
2006-01-13,3.19,NA,NA,3.06,NA,NA,NA
2006-01-16,3.06,NA,NA,3.12,NA,NA,NA
2006-01-17,3.12,NA,NA,3.12,NA,NA,NA
2006-01-18,3.12,NA,NA,3.27,NA,NA,NA
2006-01-19,3.27,NA,NA,3.43,NA,NA,NA
2006-01-20,3.43,NA,NA,3.26,NA,NA,NA
2006-01-23,3.26,NA,NA,3.20,NA,NA,NA
2006-01-24,3.20,NA,NA,3.20,NA,NA,NA
2006-01-25,3.20,NA,NA,3.20,NA,NA,NA
2006-01-26,3.20,NA,NA,3.07,NA,NA,NA
2006-01-27,3.07,NA,NA,3.20,NA,NA,NA
2006-01-30,3.20,NA,NA,3.06,NA,NA,NA
2006-01-31,3.06,NA,NA,3.05,NA,NA,NA
2006-02-01,3.05,NA,NA,3.06,NA,NA,NA
2006-02-02,3.06,NA,NA,3.00,NA,NA,NA
2006-02-03,3.00,NA,NA,3.15,NA,NA,NA
2006-02-06,3.15,NA,NA,3.00,NA,NA,NA
2006-02-07,3.00,NA,NA,3.15,NA,NA,NA
2006-02-08,3.15,NA,NA,3.30,NA,NA,NA
2006-02-09,3.30,NA,NA,3.30,NA,NA,NA
2006-02-10,3.30,NA,NA,3.20,NA,NA,NA
2006-02-13,3.20,NA,NA,3.30,NA,NA,NA
2006-02-14,3.30,NA,NA,3.25,NA,NA,NA
2006-02-15,3.25,NA,NA,3.26,NA,NA,NA
2006-02-16,3.26,NA,NA,3.23,NA,NA,NA
2006-02-17,3.23,NA,NA,3.20,NA,NA,NA
2006-02-20,3.20,NA,NA,3.15,NA,NA,NA
2006-02-21,3.15,NA,NA,3.06,NA,NA,NA
2006-02-22,3.06,NA,NA,3.10,NA,NA,NA
2006-02-23,3.10,NA,NA,3.10,NA,NA,NA
2006-02-24,3.10,NA,NA,3.05,NA,NA,NA
2006-02-27,3.05,NA,NA,3.05,NA,NA,NA
2006-02-28,3.05,NA,NA,3.14,NA,NA,NA
2006-03-01,3.14,NA,NA,3.09,NA,NA,NA
2006-03-02,3.09,NA,NA,3.10,NA,NA,NA
2006-03-03,3.10,NA,NA,3.10,NA,NA,NA
2006-03-06,3.10,NA,NA,3.15,NA,NA,NA
2006-03-07,3.15,NA,NA,3.15,NA,NA,NA
2006-03-08,3.15,NA,NA,3.15,NA,NA,NA
2006-03-09,3.15,NA,NA,2.99,NA,NA,NA
2006-03-10,2.99,NA,NA,2.86,NA,NA,NA
2006-03-13,2.86,NA,NA,2.88,NA,NA,NA
2006-03-14,2.88,NA,NA,2.80,NA,NA,NA
2006-03-15,2.80,NA,NA,2.81,NA,NA,NA
2006-03-16,2.81,NA,NA,2.85,NA,NA,NA
2006-03-17,2.85,NA,NA,2.87,NA,NA,NA
2006-03-20,2.87,NA,NA,3.01,NA,NA,NA
2006-03-27,3.01,NA,NA,3.16,NA,NA,NA
2006-03-28,3.16,NA,NA,3.30,NA,NA,NA
2006-03-29,3.30,NA,NA,3.14,NA,NA,NA
2006-03-30,3.14,NA,NA,2.99,NA,NA,NA
2006-03-31,2.99,NA,NA,3.00,NA,NA,NA
2006-04-03,3.00,NA,NA,3.15,NA,NA,NA
2006-04-04,3.15,NA,NA,3.15,NA,NA,NA
2006-04-05,3.15,NA,NA,3.00,NA,NA,NA
2006-04-06,3.00,NA,NA,3.01,NA,NA,NA
2006-04-07,3.01,NA,NA,3.00,NA,NA,NA
2006-04-11,3.00,NA,NA,3.00,NA,NA,NA
2006-04-12,3.00,NA,NA,2.90,NA,NA,NA
2006-04-13,2.90,NA,NA,2.90,NA,NA,NA
2006-04-18,2.90,NA,NA,2.87,NA,NA,NA
