Date,Close,Open
2003-02-17,5.76,5.76
2003-02-18,5.76,5.76
2003-02-19,5.76,5.76
2003-02-21,5.76,5.76
2003-02-24,5.76,5.76
2003-02-25,5.76,5.76
2003-02-26,5.76,5.76
2003-02-28,5.76,5.76
2003-03-04,5.76,5.76
2003-03-05,5.76,5.76
2003-03-06,5.76,5.76
2003-03-07,5.76,5.76
2003-03-10,5.76,5.76
2003-03-11,5.76,5.76
2003-03-13,5.76,5.76
2003-03-14,5.76,5.76
2003-03-17,5.76,5.76
2003-03-18,5.76,5.76
2003-03-19,5.76,5.76
2003-03-20,5.76,5.76
2003-03-21,5.76,5.76
2003-03-24,5.76,5.76
2003-03-25,5.48,5.48
2003-03-26,5.21,5.21
2003-03-27,4.95,4.96
2003-03-31,4.48,4.48
2003-04-01,3.36,3.36
2003-04-02,3.2,3.2
2003-04-03,3.04,3.04
2003-04-04,2.89,2.89
2003-04-07,2.95,2.84
2003-04-08,3.09,3.07
2003-04-09,3.24,3.22
2003-04-10,3.4,3.3
2003-04-11,3.32,3.36
2003-04-14,3.2,3.22
2003-04-15,3.04,3.1
2003-04-16,2.89,2.89
2003-04-17,2.99,2.9
2003-04-22,3,3.02
2003-04-23,3,2.99
2003-04-24,2.91,3
2003-04-25,2.97,3
2003-04-28,2.9,2.95
2003-04-29,2.99,2.95
2003-04-30,3.01,3.02
2003-05-02,3.09,3.06
2003-05-05,3,2.99
2003-05-06,3.08,3.03
2003-05-07,3,3.05
2003-05-08,3,3
2003-05-09,3,3.04
2003-05-12,3,3
2003-05-14,3.05,3.01
2003-05-15,3,3.02
2003-05-16,3,3.01
2003-05-19,3,3
2003-05-20,3,3
2003-05-21,3,2.99
2003-05-22,3,3
2003-05-23,2.96,2.87
2003-05-26,2.82,2.92
2003-05-27,2.95,2.79
2003-05-28,2.84,2.88
2003-05-30,2.98,2.95
2003-06-02,3,2.99
2003-06-03,2.98,3
2003-06-04,2.93,2.98
2003-06-05,3,2.98
2003-06-06,3.05,3.01
2003-06-09,3.15,3.09
2003-06-10,3.3,3.26
2003-06-11,3.41,3.32
2003-06-12,3.25,3.3609
2003-06-13,3.25,3.25
2003-06-16,3.13,3.16
2003-06-17,3.13,3.14
2003-06-18,3.04,3.12
2003-06-19,3.19,3.18
2003-06-20,3.31,3.31
2003-06-23,3.2,3.22
2003-06-24,3.05,3.07
2003-06-25,3,3.07
2003-06-26,2.9,2.94
2003-06-27,2.9,2.93
2003-06-30,2.99,2.79
2003-07-01,3.08,2.96
2003-07-02,2.99,2.99
2003-07-03,3,3
2003-07-04,3,2.92
2003-07-07,2.85,2.89
2003-07-08,2.86,2.87
2003-07-09,2.99,2.98
2003-07-10,3.02,3
2003-07-11,2.98,2.98
2003-07-14,3.06,3.06
2003-07-15,2.99,3
2003-07-16,2.99,3.01
2003-07-17,3,3.01
2003-07-18,3.05,3.02
2003-07-21,3.04,3
2003-07-23,3,2.99
2003-07-24,3,3
2003-07-25,3,2.99
2003-07-28,3,3
2003-07-29,3.04,3.01
2003-07-30,3,2.98
2003-07-31,3.01,3.01
2003-08-01,2.99,3.01
2003-08-04,2.97,2.93
2003-08-05,3,2.95
2003-08-06,2.85,2.89
2003-08-07,2.75,2.87
2003-08-08,2.88,2.8
2003-08-11,3,2.96
2003-08-12,3,2.99
2003-08-13,2.95,2.98
2003-08-14,3.09,3
2003-08-15,3,3
2003-08-18,2.99,3
2003-08-19,3.01,3.01
2003-08-20,3.05,3.04
2003-08-21,3.2,3.06
2003-08-22,3.04,3.29
2003-08-25,3.09,3.1
2003-08-26,3.2,3.09
2003-08-27,3.1,3.1
2003-08-28,3.08,3.02
2003-08-29,3.08,3.04
2003-09-01,3.08,3.02
2003-09-02,3.01,3.04
2003-09-03,3,3
2003-09-04,2.99,2.99
2003-09-05,2.99,2.99
2003-09-08,2.99,2.99
2003-09-09,2.99,2.94
2003-09-10,3,3
2003-09-11,2.95,2.97
2003-09-12,2.95,3
2003-09-15,2.9,2.96
2003-09-16,2.99,2.99
2003-09-17,3,2.99
2003-09-18,3.08,2.97
2003-09-19,2.95,2.99
2003-09-22,3,2.88
2003-09-23,2.97,2.92
2003-09-24,3,2.99
2003-09-25,3,2.96
2003-09-26,2.99,2.99
2003-09-29,2.96,3.02
2003-09-30,3.1,3.09
2003-10-02,3.25,3.25
2003-10-03,3.41,3.25
2003-10-06,3.25,3.31
2003-10-07,3.12,3.18
2003-10-08,3.26,3.2
2003-10-09,3.28,3.26
2003-10-10,3.21,3.3
2003-10-13,3,2.97
2003-10-14,2.85,2.92
2003-10-15,2.94,2.99
2003-10-16,3,2.99
2003-10-17,3,3
2003-10-20,3.05,3.01
2003-10-22,2.99,3.01
2003-10-23,3,3
2003-10-24,3.02,3.01
2003-10-27,3.1,3.09
2003-10-28,3.25,3.23
2003-10-29,3.41,3.41
2003-10-30,3.58,3.58
2003-10-31,3.75,3.75
2003-11-03,3.93,3.93
2003-11-04,4.12,4.12
2003-11-05,4.32,4.32
2003-11-06,4.53,4.53
2003-11-07,4.75,4.75
2003-11-10,4.6,4.95
2003-11-11,4.37,4.43
2003-11-12,4.16,4.16
2003-11-13,3.96,3.96
2003-11-14,4,3.84
2003-11-17,4.2,4.18
2003-11-18,3.99,4.11
2003-11-19,4.01,4.05
2003-11-20,4.2,3.94
2003-11-21,4.2,4.11
2003-11-26,4.2,4.18
2003-11-27,4.4,4.3
2003-11-28,4.21,4.27
2003-12-01,4.2,4.1
2003-12-02,4,4.03
2003-12-03,3.89,3.88
2003-12-04,3.81,3.86
2003-12-05,3.8,3.73
2003-12-08,3.98,3.95
2003-12-09,3.98,3.98
2003-12-10,3.92,3.92
2003-12-11,3.89,3.86
2003-12-12,3.76,3.85
2003-12-15,3.7,3.83
2003-12-16,3.88,3.88
2003-12-17,3.88,3.72
2003-12-18,3.69,3.71
