Date,Open,High,Low,Close,Volume,Trades,Value
2007-01-17,0.95,0.95,0.95,0.95,2760.00,1.00,2622.00
2007-01-24,0.95,0.95,0.95,0.95,675.00,1.00,641.25
2007-02-05,0.95,0.95,0.95,0.95,11175.00,4.00,10616.25
2007-02-06,0.95,0.95,0.95,0.95,660.00,1.00,627.00
2007-02-09,0.95,0.95,0.95,0.95,1620.00,1.00,1539.00
2007-02-15,0.95,0.95,0.95,0.95,10000.00,1.00,9500.00
2007-02-20,0.95,0.99,0.95,0.99,18614.00,4.00,18022.50
2007-02-21,0.99,0.99,0.99,0.99,781.00,1.00,773.19
2007-02-26,1.03,1.03,1.03,1.03,23237.00,2.00,23934.11
2007-02-27,1.08,1.08,1.08,1.08,24930.00,2.00,26924.40
2007-02-28,1.13,1.13,1.13,1.13,23085.00,1.00,26086.05
2007-03-01,1.18,1.18,1.13,1.13,6715.00,3.00,7761.70
2007-03-07,1.18,1.18,1.13,1.13,3250.00,2.00,3827.50
2007-03-09,1.13,1.13,1.13,1.13,2348.00,1.00,2653.24
2007-03-13,1.13,1.13,1.13,1.13,10000.00,1.00,11300.00
2007-03-15,1.13,1.13,1.13,1.13,10000.00,1.00,11300.00
2007-03-16,1.13,1.13,1.13,1.13,13875.00,2.00,15678.75
2007-03-20,1.13,1.13,1.13,1.13,5000.00,1.00,5650.00
2007-03-26,1.18,1.18,1.18,1.18,18450.00,2.00,21771.00
2007-03-27,1.18,1.18,1.18,1.18,750.00,2.00,885.00
2007-03-29,1.18,1.18,1.18,1.18,1000.00,1.00,1180.00
2007-03-30,1.18,1.18,1.18,1.18,2250.00,3.00,2655.00
2007-04-04,1.18,1.18,1.18,1.18,750.00,1.00,885.00
2007-04-05,1.18,1.18,1.18,1.18,1500.00,1.00,1770.00
2007-04-11,1.18,1.18,1.18,1.18,1350.00,1.00,1593.00
2007-04-16,1.18,1.18,1.18,1.18,2498.00,2.00,2947.64
2007-04-18,1.18,1.18,1.18,1.18,1500.00,1.00,1770.00
2007-04-19,1.18,1.18,1.18,1.18,2000.00,1.00,2360.00
2007-04-23,1.23,1.23,1.23,1.23,39139.00,1.00,48140.97
2007-05-03,1.23,1.23,1.23,1.23,4500.00,1.00,5535.00
2007-05-04,1.23,1.23,1.23,1.23,475.00,1.00,584.25
2007-05-08,1.29,1.29,1.23,1.23,1495.00,2.00,1891.35
2007-05-14,1.23,1.23,1.23,1.23,2587.00,3.00,3182.01
2007-05-15,1.23,1.23,1.23,1.23,250.00,1.00,307.50
2007-05-28,1.23,1.23,1.23,1.23,2978.00,1.00,3662.94
2007-05-30,1.23,1.23,1.23,1.23,300.00,1.00,369.00
2007-06-07,1.23,1.23,1.23,1.23,3775.00,3.00,4643.25
2007-06-08,1.25,1.25,1.25,1.25,25491.00,2.00,31863.75
2007-06-11,1.25,1.25,1.25,1.25,2000.00,1.00,2500.00
2007-06-15,1.25,1.25,1.25,1.25,2025.00,1.00,2531.25
2007-06-22,1.25,1.25,1.25,1.25,2470.00,4.00,3087.50
2007-06-29,1.25,1.25,1.25,1.25,1000.00,1.00,1250.00
2007-07-04,1.25,1.25,1.25,1.25,100.00,1.00,125.00
2007-07-06,1.25,1.25,1.25,1.25,3175.00,1.00,3968.75
2007-07-09,1.25,1.25,1.25,1.25,3150.00,3.00,3937.50
2007-07-11,1.25,1.25,1.25,1.25,1940.00,2.00,2425.00
2007-07-18,1.25,1.25,1.25,1.25,1050.00,1.00,1312.50
2007-07-20,1.25,1.25,1.19,1.19,12000.00,3.00,14400.00
2007-07-20,1.34,1.34,1.34,1.34,1300.00,1.00,1742.00
2007-07-20,1.34,1.34,1.34,1.34,1300.00,1.00,1742.00
2007-07-26,1.24,1.24,1.14,1.19,15605.00,4.00,18340.20
2007-07-30,1.19,1.19,1.19,1.19,3278.00,1.00,3900.82
2007-07-31,1.19,1.19,1.19,1.19,2000.00,1.00,2380.00
2007-08-02,1.19,1.19,1.19,1.19,50.00,1.00,59.50
2007-08-03,1.19,1.24,1.19,1.24,3300.00,2.00,4077.00
2007-08-06,1.24,1.24,1.24,1.24,1800.00,1.00,2232.00
2007-08-07,1.24,1.24,1.24,1.24,992.00,2.00,1230.08
2007-08-14,1.24,1.24,1.24,1.24,9930.00,1.00,12313.20
2007-08-15,1.28,1.28,1.28,1.28,1890.00,1.00,2419.20
2007-08-16,1.34,1.34,1.28,1.34,16808.00,5.00,22509.94
2007-08-20,1.34,1.34,1.34,1.34,1300.00,1.00,1742.00
2007-08-21,1.34,1.34,1.34,1.34,1145.00,1.00,1534.30
2007-08-24,1.33,1.34,1.33,1.34,1500.00,2.00,2005.00
2007-09-04,1.40,1.40,1.34,1.34,2580.00,3.00,3573.00
