Date,Close,Open
2003-02-17,6.51,6.54
2003-02-18,6.6,6.58
2003-02-19,6.55,6.57
2003-02-21,6.3,6.36
2003-02-24,5.99,6.16
2003-02-25,5.7,5.91
2003-02-26,5.65,5.8
2003-02-28,6.03,5.84
2003-03-04,6.31,6.29
2003-03-05,6.41,6.39
2003-03-06,6.48,6.44
2003-03-07,6.39,6.37
2003-03-10,6.39,6.33
2003-03-11,6.28,6.32
2003-03-13,6.2,6.17
2003-03-14,6,6
2003-03-17,5.95,5.95
2003-03-18,6.2,6.07
2003-03-19,6.08,6.13
2003-03-20,6.03,6.07
2003-03-21,6.08,6.09
2003-03-24,6.1,6.1
2003-03-25,6.25,6.17
2003-03-26,6,6.01
2003-03-27,5.96,6
2003-03-31,5.95,5.94
2003-04-01,6.24,6.03
2003-04-02,6.49,6.26
2003-04-03,6.3,6.34
2003-04-04,6.3,6.21
2003-04-07,6.39,6.3
2003-04-08,6.54,6.35
2003-04-09,6.79,6.58
2003-04-10,6.61,6.73
2003-04-11,6.31,6.46
2003-04-14,6.35,6.39
2003-04-15,6.5,6.44
2003-04-16,6.38,6.42
2003-04-17,6.38,6.36
2003-04-22,6.44,6.34
2003-04-23,6.32,6.37
2003-04-24,6.4,6.34
2003-04-25,6.5,6.55
2003-04-28,6.82,6.81
2003-04-29,6.9,6.89
2003-04-30,6.98,6.91
2003-05-02,6.9,6.9
2003-05-05,6.85,6.78
2003-05-06,6.8,6.78
2003-05-07,6.86,6.84
2003-05-08,6.79,6.82
2003-05-09,6.52,6.67
2003-05-12,6.53,6.58
2003-05-14,5.15,5.15
2003-05-15,5,5.12
2003-05-16,5,4.98
2003-05-19,4.98,4.97
2003-05-20,5.21,5.01
2003-05-21,5.03,5.11
2003-05-22,5.1,5.01
2003-05-23,5.1,5.1
2003-05-26,5.13,5.06
2003-05-27,5.26,5.21
2003-05-28,5.21,5.24
2003-05-30,5.21,5.2
2003-06-02,5.36,5.29
2003-06-03,5.39,5.32
